Date,BTC,ETH,LTC,BCH,EOS,BNB,XLM,TRX,ADA,NEO
7/2/17,2536.46,283.99,41.26,0,3,0,0.02523,0,0,8.142
7/3/17,2572.47,276.41,45.34,0,4.2,0,0.02605,0,0,8.24
7/4/17,2617.32,269.05,54.51,0,3.24,0,0.02579,0,0,7.737
7/5/17,2627.86,266,52.92,0,2.86,0,0.02558,0,0,7.926
7/6/17,2614.24,265.88,51.04,0,3.23,0,0.0253,0,0,7.84
7/7/17,2513.88,240.94,46.1,0,2.65,0,0.0203,0,0,6.78
7/8/17,2564.86,245.67,51.22,0,2.37,0,0.02156,0,0,7.394
7/9/17,2511.43,237.72,48.63,0,2.22,0,0.01923,0,0,6.844
7/10/17,2344.02,205.76,45,0,1.7,0,0.01489,0,0,5.656
7/11/17,2324.29,190.55,43.98,0,1.53,0,0.01432,0,0,5.276
7/12/17,2403.09,224.15,47.14,0,1.96,0,0.01784,0,0,6.558
7/13/17,2362.44,205.41,45.69,0,1.71,0,0.01714,0,0,6.26
7/14/17,2234.17,197.14,42.46,0,1.51,0,0.0161,0,0,5.559
7/15/17,1975.08,169.1,38.41,0,1.29,0,0.01758,0,0,4.942
7/16/17,1914.09,155.42,40.7,0,1.22,0,0.01565,0,0,4.942
7/17/17,2233.39,189.97,42.17,0,1.51,0,0.0186,0,0,5.874
7/18/17,2320.23,227.09,43.35,0,1.67,0,0.01853,0,0,6.005
7/19/17,2282.58,194.41,40.11,0,1.45,0,0.0171,0,0,5.779
7/20/17,2866.02,226.33,44.35,0,1.71,0,0.01897,0,0,7.337
7/21/17,2675.08,216.33,45.2,0,1.79,0,0.01898,0,0,7.324
7/22/17,2836.53,230.47,46.47,0,2.03,0,0.02312,0,0,8.836
7/23/17,2756.61,228.32,44.67,0,1.91,0,0.0222,0,0,8.849
7/24/17,2763.42,225.48,44.77,0,1.9,0,0.02274,0,0,8.506
7/25/17,2582.58,203.59,42.3,0,1.67,0,0.01861,0,0,7.332
7/26/17,2559.21,202.88,42.03,0,1.66,0,0.01891,0,0,7.248
7/27/17,2691.88,202.93,41.89,0,1.91,0,0.01848,0,0,7.86
7/28/17,2806.75,191.21,40.43,0,1.8,0,0.01708,0,0,7.076
7/29/17,2733.5,206.14,41.07,0,1.81,0,0.01747,0,0,7.326
7/30/17,2766.49,196.78,40.61,0,1.79,0,0.01603,0,0,7.212
7/31/17,2883.27,201.33,42.38,0,1.72,0,0.01605,0,0,7.459
8/1/17,2746.99,225.9,43.16,441.72,1.77,0,0.01799,0,0,7.832
8/2/17,2720.53,218.12,41.92,670.61,1.76,0,0.0184,0,0,8.205
8/3/17,2809.99,224.39,42.75,405.76,1.78,0,0.01889,0,0,11.02
8/4/17,2878.49,220.6,43.31,217.27,1.78,0,0.02245,0,0,10.37
8/5/17,3262.8,253.09,46.24,203.5,1.86,0,0.02381,0,0,14.23
8/6/17,3232.03,264.56,45.56,216.9,1.76,0,0.02283,0,0,15.92
8/7/17,3401.91,269.94,46.11,322.6,1.83,0,0.0223,0,0,19.54
8/8/17,3429.38,296.51,49.13,343.43,1.86,0,0.02378,0,0,18.42
8/9/17,3348.79,295.28,47.78,302.63,1.82,0,0.023,0,0,22.57
8/10/17,3425.67,298.28,46.97,275.66,1.84,0,0.02207,0,0,37.92
8/11/17,3654.37,309.32,47.11,327.65,1.76,0,0.02166,0,0,34.26
8/12/17,3871.62,308.02,46.27,316.2,1.65,0,0.02005,0,0,37.86
8/13/17,4062.6,296.62,45.49,289.5,1.59,0,0.01827,0,0,48.55
8/14/17,4327.94,299.16,45.7,297.29,1.61,1.586,0.01776,0,0,48.13
8/15/17,4161.66,286.52,43.17,297.6,1.62,1.43,0.01738,0,0,47.44
8/16/17,4387.4,301.38,43.97,300.05,1.59,2.26,0.01774,0,0,45.59
8/17/17,4278.92,300.3,43.83,446.29,1.52,1.934,0.01728,0,0,40.64
8/18/17,4105.37,292.62,46.74,689.83,1.4,0,0.01675,0,0,39.32
8/19/17,4150.45,293.02,45.19,738.54,1.39,0,0.01649,0,0,39.72
8/20/17,4066.6,298.2,45.81,719.27,1.36,0,0.0177,0,0,37.92
8/21/17,4005.1,321.85,48.09,605.22,1.33,0,0.01955,0,0,35.49
8/22/17,4089.7,313.37,46.4,684.6,1.27,0,0.02153,0,0,35.96
8/23/17,4141.09,317.4,53.44,676.65,1.42,0,0.02011,0,0,39.97
8/24/17,4318.35,325.28,50.36,617.52,1.37,2.41,0.01908,0,0,42.26
8/25/17,4364.41,330.06,51.09,631.97,1.37,2.571,0.02059,0,0,40.24
8/26/17,4352.3,332.86,51.58,621.51,1.36,2.457,0.02125,0,0,38.69
8/27/17,4345.75,347.88,61.08,619.7,1.34,1.931,0.0199,0,0,39.94
8/28/17,4390.31,347.66,62.36,591.81,1.33,1.877,0.02061,0,0,38.71
8/29/17,4597.31,372.35,63.76,547.08,1.32,2.085,0.02005,0,0,33.56
8/30/17,4583.02,383.86,65.97,579.29,1.25,2.265,0.02115,0,0,33.32
8/31/17,4735.11,388.33,73.03,594.26,1.34,2.097,0.02249,0,0,33.38
9/1/17,4921.85,391.42,87.88,631.47,1.32,2.349,0.02412,0,0,32.04
9/2/17,4573.8,351.03,79.18,577.67,1.24,2.029,0.0204,0,0,31.97
9/3/17,4612.92,352.45,79.04,610.75,1.3,1.824,0.02138,0,0,31.03
9/4/17,4267.45,303.7,68.89,525.32,0.9142,1.347,0.01762,0.0135,0,23.08
9/5/17,4409.08,317.94,73.73,546.74,0.923,1.017,0.01868,0.001908,0,23.5
9/6/17,4618.71,338.92,81.44,647.64,0.9106,0.9829,0.02038,0.002034,0,21.25
9/7/17,4635.6,335.37,80.25,669.84,0.9828,1.38,0.02029,0.001811,0,33.53
9/8/17,4326.45,306.72,73.19,605.66,0.8421,1.015,0.01829,0.002172,0,25.96
9/9/17,4335.13,303.79,71.09,587.84,0.8174,0.9594,0.01789,0.002825,0,22.49
9/10/17,4245.89,299.21,67.08,558.76,0.745,0.9425,0.01669,0.002094,0,23.76
9/11/17,4217.9,297.95,68.13,555.92,0.735,1.013,0.01722,0.001999,0,21.92
9/12/17,4158.92,294.1,65.89,536.92,0.859,1.046,0.01642,0.002059,0,20.96
9/13/17,3870.29,275.84,61.78,506.23,0.7272,0.9359,0.01527,0.001953,0,20.1
9/14/17,3243.08,223.14,45.2,386.49,0.5806,0.6699,0.01131,0.001383,0,15.78
9/15/17,3713.76,259.57,52,428.88,0.6511,0.8117,0.01229,0.001817,0,18.72
9/16/17,3698.92,254.49,52.1,443.21,0.624,0.8044,0.01188,0.001832,0,20.63
9/17/17,3689.61,258.4,51,440.54,0.6233,0.7842,0.01123,0.003346,0,19.8
9/18/17,4100.28,297.53,56.16,486.03,0.7049,0.8974,0.01351,0.003273,0,21.07
9/19/17,3907.96,283,52.8,531.09,0.6493,0.8009,0.01189,0.002578,0,19.86
9/20/17,3882.16,283.56,51.56,478.28,0.6166,0.7463,0.0123,0.002722,0,19.69
9/21/17,3617.27,257.77,46.46,416.13,0.5671,0.6908,0.01057,0.002075,0,17.26
9/22/17,3600.83,262.94,47.67,410.13,0.5659,0.7149,0.01077,0.002077,0,18.63
9/23/17,3788.02,286.14,49.29,429.56,0.578,0.7703,0.0119,0.002346,0,20.2
9/24/17,3667.52,282.6,47.5,421.4,0.5454,0.7783,0.01157,0.002247,0,19.79
9/25/17,3932.83,294.89,52.27,451.1,0.5688,0.918,0.01204,0.00174,0,25.94
9/26/17,3892.7,288.64,52.27,450,0.5614,0.859,0.01236,0.001876,0,26.28
9/27/17,4212.2,309.97,56.9,464.14,0.6314,1.153,0.01445,0.002508,0,31.82
9/28/17,4195.65,302.77,54.91,459.42,0.8085,1.369,0.0137,0.001665,0,29.92
9/29/17,4172.79,292.58,52.8,440.23,0.7146,1.255,0.01327,0.001858,0,28.64
9/30/17,4360.62,302.77,55.41,433.36,0.7274,1.28,0.01398,0.00195,0,34.32
10/1/17,4403.09,303.95,54.8,416.4,0.7085,1.522,0.01387,0.001884,0.0255,35.72
10/2/17,4401.32,296.81,53.29,419.84,0.6549,1.973,0.013,0.00282,0.02588,36.61
10/3/17,4314.18,291.81,52.15,402.17,0.6308,1.837,0.01241,0.002442,0.02053,33.57
10/4/17,4218.66,291.68,51.22,355.84,0.6008,1.622,0.01181,0.003351,0.02189,31.17
10/5/17,4321.44,294.99,51.64,354.36,0.6054,1.674,0.01449,0.003103,0.02154,32.28
10/6/17,4371.94,308.33,52.08,363.35,0.6005,1.556,0.01838,0.003009,0.01849,33.49
10/7/17,4435.81,311.26,52.57,360.23,0.5895,1.566,0.02077,0.0024,0.02041,35.82
10/8/17,4611.7,309.49,53.3,343.06,0.606,1.216,0.01862,0.002689,0.02043,32.15
10/9/17,4777.49,296.95,50.08,313.02,0.558,1.427,0.01764,0.002126,0.02207,28.96
10/10/17,4763.36,298.46,50.58,317.81,0.552,1.422,0.0188,0.00255,0.02148,29.26
10/11/17,4824.2,302.86,50.79,314.1,0.6076,1.439,0.01955,0.0025,0.02253,29.92
10/12/17,5432.62,302.89,59.72,310.31,0.5947,1.345,0.01794,0.0018,0.02635,27.88
10/13/17,5637.26,336.83,59.05,319.46,0.5872,1.502,0.01786,0.00201,0.03354,29.23
10/14/17,5824.71,338.81,63.94,320.65,0.5836,1.508,0.0175,0.00274,0.03221,27.72
10/15/17,5688.14,336.58,65.57,314.84,0.5738,1.548,0.0188,0.00225,0.03003,27.69
10/16/17,5759.33,334.23,64.76,313.6,0.5608,1.437,0.036,0.00253,0.02891,28.55
10/17/17,5598.58,316.14,59.19,367.84,0.5501,1.386,0.0461,0.00218,0.02721,31.65
10/18/17,5575.83,313.54,60.55,338.34,0.5432,1.355,0.03515,0.00192,0.02725,29.66
