Date,BTC,ETH,LTC,BCH,EOS,BNB,XLM,TRX,ADA,NEO
7/2/17,810428621.2,923939163.1,188749174.4,0,0,0,0,0,0,0
7/3/17,950798571.8,628074673,521853785.2,0,0,0,0,0,0,0
7/4/17,979681432.8,532311719.4,866681573.2,0,0,0,0,0,0,0
7/5/17,929079797.9,628883924.6,633140558.5,0,0,0,0,0,0,0
7/6/17,707934074.5,457341367.5,276903882.3,0,0,0,0,0,0,0
7/7/17,869514590.5,531025098,422691148.9,0,0,0,0,0,0,0
7/8/17,725208214.5,591031718.7,539570188.1,0,0,0,0,0,0,0
7/9/17,476642968.6,288233782.3,319578488,0,0,0,0,0,0,0
7/10/17,1073098638,769627088.3,300549377.1,0,0,0,0,0,0,0
7/11/17,1306972486,1196845278,335288617.8,0,0,0,0,0,0,0
7/12/17,1119543663,1069481675,319178269.6,0,0,0,0,0,0,0
7/13/17,847892260.6,666779601.5,199504632.5,0,0,0,0,0,0,0
7/14/17,897201697.3,574913090.2,261387031.9,0,0,0,0,0,0,0
7/15/17,1042453939,623802018.7,269799147.4,0,0,0,0,0,0,0
7/16/17,1199271769,1272110684,340202566.3,0,0,0,0,0,0,0
7/17/17,1281354916,1397749063,302846053.6,0,0,0,0,0,0,0
7/18/17,1577354559,2190064703,325280909.3,0,0,0,0,0,0,0
7/19/17,1294969241,1744752178,192562534.6,0,0,0,0,0,0,0
7/20/17,2424784728,1789506146,290432636.4,0,0,0,0,0,0,0
7/21/17,1589741032,851949527.1,260368666.2,0,0,0,0,0,0,0
7/22/17,1278968997,559591659.6,122930444.8,0,0,0,0,0,0,0
7/23/17,1103492870,506212944.2,166958495.2,0,0,0,0,0,0,0
7/24/17,853411053.7,329153802.5,116051149.3,0,0,0,0,0,0,0
7/25/17,1521635734,911973924.1,164072624.5,0,0,0,0,0,0,0
7/26/17,1024810360,630673234.9,114087739.2,0,0,0,0,0,0,0
7/27/17,847090220,342938028.6,71256567.05,0,0,0,0,0,0,0
7/28/17,1415485818,485391458,112035636.4,0,0,0,0,0,0,0
7/29/17,825701538.6,740738290.2,88460433.6,0,0,0,0,0,0,0
7/30/17,741445878.3,511412705.1,67842302.29,0,0,0,0,0,0,0
7/31/17,918785355.5,497101005.5,216622900.7,0,0,0,0,0,0,0
8/1/17,1374735184,1268614372,191718008.5,0,0,0,0,0,0,0
8/2/17,1045911921,546166991.9,93076051.01,0,0,0,0,0,0,0
8/3/17,862676118.7,484574401.7,84739575.83,0,0,0,0,0,0,0
8/4/17,1017019682,471284229.4,102516816.9,6931922.05,0,0,0,0,0,0
8/5/17,2014665422,1106535812,220688874.9,0,0,0,0,0,0,0
8/6/17,1119674157,1142789894,129273216.9,0,0,0,0,0,0,0
8/7/17,1455892766,791004697,93492855.5,0,0,0,0,0,0,0
8/8/17,1712264605,1169013467,183298714.9,14219478.35,0,0,0,0,0,0
8/9/17,1471128839,1938655755,227792197.1,0,0,0,0,0,0,0
8/10/17,1460228252,910298356.1,109102862.1,3988027.99,0,0,0,0,0,0
8/11/17,1967283131,796456456.9,121333087.1,0,0,0,0,0,0,0
8/12/17,2271316614,882611275.6,123092582.8,0,0,0,0,0,0,0
8/13/17,3173843036,1144972389,218499953.3,0,0,0,0,0,0,0
8/14/17,2490455858,709314655.9,103058422.1,0,0,0,0,0,0,0
8/15/17,3356935079,892611481,189257564.5,7460940.81,0,0,0,0,0,0
8/16/17,2326909361,782777663.9,107802849.3,0,0,0,0,0,0,0
8/17/17,2545365369,735303476.5,93662734.71,92051507.39,0,0,0,0,0,0
8/18/17,2786713907,739952463.6,263207176.3,647451293.1,0,0,0,0,0,0
8/19/17,2811992754,705335815.4,133863426.2,324926486.7,0,0,0,0,0,0
8/20/17,1640721416,471585668.3,121246167,192582016.9,0,0,0,0,0,0
8/21/17,11937314255,1779789702,184743047.5,118670992.9,0,0,0,0,0,0
