Date,Market Cap (USD),Number of Coins
7/1/2017,628889.7691,6976694.901
7/2/2017,866668.8099,8596215.348
7/3/2017,941126.9044,9680434.781
7/4/2017,781841.5807,10004775.95
7/5/2017,1178105.979,13489655.77
7/6/2017,2535316.258,18307648.85
7/7/2017,2048257.855,21868388.26
7/8/2017,1868675.944,24534540.99
7/9/2017,1434877.796,26954986.37
7/10/2017,2092757.062,27411861.3
7/11/2017,1047254.684,28060096.77
7/12/2017,1178573.936,28754268.01
7/13/2017,1556023.914,34383421.4
7/14/2017,2266096.199,48828949.61
7/15/2017,2385137.738,56706200.54
7/16/2017,13624192.1,222295208.2
7/17/2017,18065328.59,222295208.2
7/18/2017,9107529.709,222295208.2
7/19/2017,11848159.68,222295208.2
7/20/2017,12341966.23,222295208.2
7/21/2017,11708434.37,222295208.2
7/22/2017,15419095.58,222295208.2
7/23/2017,11420711.75,222295208.2
7/24/2017,11582258.93,222295208.2
7/25/2017,9758368.795,222295208.2
7/26/2017,10037795.01,222295208.2
7/27/2017,9206913.137,222295208.2
7/28/2017,7503689.804,222295208.2
7/29/2017,8568388.932,222295208.2
7/30/2017,9378781.263,222295208.2
7/31/2017,8456530.558,222295208.2
8/1/2017,8970911.441,222295208.2
8/2/2017,9160939.882,222295208.2
8/3/2017,8848731.228,222295208.2
8/4/2017,10196773.98,222295208.2
8/5/2017,14087167.52,222295208.2
8/6/2017,20394584.45,222295208.2
8/7/2017,37652239.05,222295208.2
8/8/2017,36722590.68,222295208.2
8/9/2017,38030265.42,222295208.2
8/10/2017,48446848.62,222295208.2
8/11/2017,102097994.1,222295208.2
8/12/2017,309340014,222295208.2
8/13/2017,165703996.1,222295208.2
8/14/2017,164923664.5,222295208.2
8/15/2017,153518748.9,222295208.2
8/16/2017,211574206.3,222295208.2
8/17/2017,259559426.3,222295208.2
8/18/2017,258530612.9,222295208.2
8/19/2017,259063486.2,222295208.2
8/20/2017,255646563.1,222295208.2
8/21/2017,237045955.6,222295208.2
8/22/2017,221538014.9,222295208.2
8/23/2017,214528048.8,222295208.2
8/24/2017,222872787.8,222295208.2
8/25/2017,216722223.9,222295208.2
8/26/2017,211198407.3,222295208.2
8/27/2017,219964836.6,222295208.2
8/28/2017,186822798.8,222295208.2
8/29/2017,180236742.5,222295208.2
8/30/2017,181037189.7,222295208.2
8/31/2017,201995101.3,222295208.2
9/1/2017,267876662.2,222295208.2
9/2/2017,208303071.2,222295208.2
9/3/2017,205426249.8,222295208.2
9/4/2017,190109085.8,222295208.2
9/5/2017,193068288.1,222295208.2
9/6/2017,230482972,222295208.2
9/7/2017,244951620.4,222295208.2
9/8/2017,202466312.1,222295208.2
9/9/2017,203767497.2,222295208.2
9/10/2017,208749601.7,222295208.2
9/11/2017,199464770.1,222295208.2
9/12/2017,214190936.6,222295208.2
9/13/2017,192523309.4,222295208.2
9/14/2017,141182224.6,222295208.2
9/15/2017,165906907.3,222295208.2
9/16/2017,175220957.1,222295208.2
9/17/2017,174640438.5,222295208.2
9/18/2017,202909536.7,222295208.2
9/19/2017,180808379.9,222295208.2
9/20/2017,214546892,222295208.2
9/21/2017,183696794.4,222295208.2
9/22/2017,191470260.8,222295208.2
9/23/2017,180562799.1,222295208.2
9/24/2017,173860724.7,222295208.2
9/25/2017,172517343.5,222295208.2
9/26/2017,165107981.4,222295208.2
9/27/2017,169782113.1,222295208.2
9/28/2017,153562176.4,222295208.2
9/29/2017,148610430,222295208.2
9/30/2017,142593778.1,222295208.2
10/1/2017,140968986.3,222295208.2
10/2/2017,162602496,222295208.2
10/3/2017,168341045.6,222295208.2
10/4/2017,149778349.9,222295208.2
10/5/2017,145433977.3,222295208.2
10/6/2017,143094707.7,222295208.2
10/7/2017,138019130.7,222295208.2
10/8/2017,106527195.5,222295208.2
10/9/2017,120122366,222295208.2
10/10/2017,136641750.6,222295208.2
10/11/2017,137453120.2,222295208.2
10/12/2017,135029843.2,222295208.2
10/13/2017,126276425.6,222295208.2
10/14/2017,130220058.1,222295208.2
10/15/2017,130572138,222295208.2
10/16/2017,128073453.5,222295208.2
10/17/2017,124929328.4,222295208.2
10/18/2017,130452614.1,222295208.2
10/19/2017,173679152,222295208.2
10/20/2017,151525335.2,222295208.2
10/21/2017,146764117.7,222295208.2
10/22/2017,164631799.3,222295208.2
10/23/2017,190177035.1,222295208.2
10/24/2017,197062612.2,222295208.2
10/25/2017,187283634.3,222295208.2
10/26/2017,201297533.5,222295208.2
10/27/2017,197830128,222295208.2
10/28/2017,196434755,222295208.2
10/29/2017,197755322.1,222295208.2
10/30/2017,192304997.3,222295208.2
10/31/2017,175768103.1,222295208.2
11/1/2017,157432715.5,222295208.2
11/2/2017,182331044.5,222295208.2
11/3/2017,193083010.1,222295208.2
11/4/2017,185070301.9,222295208.2
11/5/2017,183749119.4,222295208.2
11/6/2017,184471964.4,222295208.2
11/7/2017,190174757.8,222295208.2
11/8/2017,220805206.5,222295208.2
11/9/2017,225489768,222295208.2
11/10/2017,217350285.6,222295208.2
11/11/2017,229199800.2,222295208.2
11/12/2017,211693341,222295208.2
11/13/2017,244830836.8,222295208.2
11/14/2017,272190428.6,222295208.2
11/15/2017,289976279.1,222295208.2
11/16/2017,293001345.1,222295208.2
11/17/2017,304233019.9,222295208.2
11/18/2017,300050889.3,222295208.2
11/19/2017,309707261.5,222295208.2
11/20/2017,403303757.9,222295208.2
11/21/2017,382169468.8,222295208.2
11/22/2017,383334921.2,222295208.2
11/23/2017,339049690.2,222295208.2
11/24/2017,351500381.5,222295208.2
11/25/2017,382251392.3,222295208.2
11/26/2017,383442531.5,222295208.2
11/27/2017,370620978.2,222295208.2
11/28/2017,358192789.5,222295208.2
11/29/2017,303015750.6,222295208.2
11/30/2017,329882461.2,222295208.2
12/1/2017,365075216.5,222295208.2
12/2/2017,339486812.4,222295208.2
12/3/2017,327723524.1,222295208.2
12/4/2017,349698895.7,222295208.2
12/5/2017,335505064.4,222295208.2
12/6/2017,318073616.6,222295208.2
12/7/2017,279887749,222295208.2
12/8/2017,323983743.2,222295208.2
12/9/2017,319446373.3,222295208.2
12/10/2017,276762755.5,222295208.2
12/11/2017,298423175.9,222295208.2
12/12/2017,297565970.2,222295208.2
12/13/2017,277366740.5,222295208.2
12/14/2017,313687399.9,222295208.2
12/15/2017,300448468.2,222295208.2
12/16/2017,296877318.1,222295208.2
12/17/2017,353060287.2,222295208.2
12/18/2017,448081235.1,222295208.2
12/19/2017,458913481.8,222295208.2
12/20/2017,560914416,222295208.2
12/21/2017,710822900.2,222295208.2
12/22/2017,621781027.9,222295208.2
12/23/2017,689252286.1,222295208.2
12/24/2017,639736531.1,222295208.2
12/25/2017,575491699.5,222295208.2
12/26/2017,559074846,222295208.2
12/27/2017,555583404.4,222295208.2
12/28/2017,556262416.1,222295208.2
12/29/2017,584316806.7,222295208.2
12/30/2017,552805832.9,222295208.2
12/31/2017,647040461.1,222295208.2
1/1/2018,855863356.7,222295208.2
1/2/2018,1003126783,222295208.2
1/3/2018,1399888713,222295208.2
1/4/2018,1472463064,222295208.2
1/5/2018,2058270061,222295208.2
1/6/2018,1980303716,222295208.2
1/7/2018,2453789643,222295208.2
1/8/2018,2170325573,222295208.2
1/9/2018,2011762340,222295208.2
1/10/2018,2070887353,222295208.2
1/11/2018,1704062125,222295208.2
1/12/2018,1784457357,222295208.2
1/13/2018,1796357792,222295208.2
1/14/2018,1606741184,222295208.2
1/15/2018,1431229162,222295208.2
1/16/2018,1387984519,222295208.2
1/17/2018,1548169293,222295208.2
1/18/2018,1538548967,222295208.2
1/19/2018,1495373023,222295208.2
1/20/2018,1642478646,222295208.2
1/21/2018,1410781484,222295208.2
1/22/2018,1287177081,222295208.2
1/23/2018,1274231722,222295208.2
1/24/2018,1274964914,222295208.2
1/25/2018,1219446910,222295208.2
1/26/2018,1186406226,222295208.2
1/27/2018,1208508892,222295208.2
1/28/2018,1160839087,222295208.2
1/29/2018,1061874951,222295208.2
1/30/2018,954402236.5,222295208.2
1/31/2018,997603666.3,222295208.2
2/1/2018,867731058.5,222295208.2
2/2/2018,838801181.2,222295208.2
2/3/2018,956110278.9,222295208.2
2/4/2018,811814281.9,222295208.2
2/5/2018,565512584,222295208.2
2/6/2018,852518652.8,222295208.2
2/7/2018,856925154.9,222295208.2
2/8/2018,1054367566,222295208.2
2/9/2018,1033586706,222295208.2
2/10/2018,903340371.9,222295208.2
2/11/2018,836142124.2,222295208.2
2/12/2018,901697837.2,222295208.2
2/13/2018,848837426.2,222295208.2
2/14/2018,899359543.9,222295208.2
2/15/2018,919458528.3,222295208.2
2/16/2018,921763543.2,222295208.2
2/17/2018,956815940.4,222295208.2
2/18/2018,870307340.7,222295208.2
2/19/2018,898697590.9,222295208.2
2/20/2018,819946488.8,222295208.2
2/21/2018,738386127.2,222295208.2
2/22/2018,720419663.9,222295208.2
2/23/2018,757485303.9,222295208.2
2/24/2018,714448680.9,222295208.2
2/25/2018,725380778.9,222295208.2
2/26/2018,793503838.1,222295208.2
2/27/2018,913179945.8,222295208.2
2/28/2018,874194581.1,222295208.2
3/1/2018,956389639.9,222295208.2
3/2/2018,978735524.3,222295208.2
3/3/2018,1144399732,222295208.2
3/4/2018,1095776086,222295208.2
3/5/2018,1022883457,222295208.2
3/6/2018,942885159.8,222295208.2
3/7/2018,877464885.5,222295208.2
3/8/2018,782776786.1,222295208.2
3/9/2018,705700835,222295208.2
3/10/2018,635851292.1,222295208.2
3/11/2018,714889248.1,222295208.2
3/12/2018,726584248.1,222295208.2
3/13/2018,708018473.2,222295208.2
3/14/2018,603655760.6,222295208.2
3/15/2018,572542368.8,222295208.2
3/16/2018,600262639.4,222295208.2
3/17/2018,508322780.8,222295208.2
3/18/2018,492891257.6,222295208.2
3/19/2018,535025412,222295208.2
3/20/2018,621967929.5,222295208.2
3/21/2018,639049249.1,222295208.2
3/22/2018,597834410.7,222295208.2
3/23/2018,601628127.1,222295208.2
3/24/2018,611497355,222295208.2
3/25/2018,725234069.9,222295208.2
3/26/2018,680474340,222295208.2
3/27/2018,609414491.1,222295208.2
3/28/2018,588840482,222295208.2
3/29/2018,473621628.3,222295208.2
3/30/2018,455351096.1,222295208.2
3/31/2018,453531436.1,222295208.2
4/1/2018,425608677.7,222295208.2
4/2/2018,448952396.8,222295208.2
4/3/2018,486138104.8,222295208.2
4/4/2018,415045650.9,222295208.2
4/5/2018,443532304.3,222295208.2
4/6/2018,411502657.4,222295208.2
4/7/2018,430566865,222295208.2
4/8/2018,442438664.4,222295208.2
4/9/2018,430315349.5,222295208.2
4/10/2018,438818111.9,222295208.2
4/11/2018,458225847.9,222295208.2
4/12/2018,514719015,222295208.2
4/13/2018,534085408.9,222295208.2
4/14/2018,555936235,222295208.2
4/15/2018,584168681.4,222295208.2
4/16/2018,554943546.1,222295208.2
4/17/2018,540144441.9,222295208.2
4/18/2018,582958554.9,222295208.2
4/19/2018,662204515.9,222295208.2
4/20/2018,698181583.7,222295208.2
4/21/2018,649128299.4,222295208.2
4/22/2018,660594182.5,222295208.2
4/23/2018,744406445.4,222295208.2
4/24/2018,828528642.1,222295208.2
4/25/2018,699845468.9,222295208.2
4/26/2018,799036559.6,222295208.2
4/27/2018,738100699.7,222295208.2
4/28/2018,804577465.1,222295208.2
4/29/2018,834818084.4,222295208.2
4/30/2018,809780774.4,222295208.2
5/1/2018,787796576.9,222295208.2
5/2/2018,781043369.5,222295208.2
5/3/2018,799360943.6,222295208.2
5/4/2018,764519134,222295208.2
5/5/2018,756259519.6,222295208.2
5/6/2018,723375654.1,222295208.2
5/7/2018,723757135.8,222295208.2
5/8/2018,837462768.8,222295208.2
5/9/2018,1010475206,222295208.2
5/10/2018,873072775.2,222295208.2
5/11/2018,767300481.9,222295208.2
5/12/2018,743841363.9,222295208.2
5/13/2018,780000543.8,222295208.2
5/14/2018,772331133.3,222295208.2
5/15/2018,707762571,222295208.2
5/16/2018,666992046.2,222295208.2
5/17/2018,619780272,222295208.2
5/18/2018,639964718.3,222295208.2
5/19/2018,649929897.4,222295208.2
5/20/2018,663444260.9,222295208.2
5/21/2018,636379852.9,222295208.2
5/22/2018,569525622.7,222295208.2
5/23/2018,499107801.3,222295208.2
5/24/2018,553275940.9,222295208.2
5/25/2018,506619298,222295208.2
5/26/2018,480514244.9,222295208.2
5/27/2018,480468571.1,222295208.2
5/28/2018,435599392.8,222295208.2
5/29/2018,499339471.9,222295208.2
5/30/2018,486242498.6,222295208.2
5/31/2018,545751046.1,222295208.2
6/1/2018,521938330.7,222295208.2
6/2/2018,537256709.6,222295208.2
6/3/2018,550554448.1,222295208.2
6/4/2018,499770739,222295208.2
6/5/2018,508887981.6,222295208.2
6/6/2018,519286712.3,222295208.2
6/7/2018,519147099.4,222295208.2
6/8/2018,524935527.5,222295208.2
6/9/2018,541242557.7,222295208.2
6/10/2018,456317742.9,222295208.2
6/11/2018,457333039,222295208.2
6/12/2018,399236940.9,222295208.2
6/13/2018,368261002,222295208.2
6/14/2018,422081903.9,222295208.2
6/15/2018,368448807.2,222295208.2
6/16/2018,377883032.4,222295208.2
6/17/2018,372723432.6,222295208.2
6/18/2018,376059616.1,222295208.2
6/19/2018,363664633.4,222295208.2
6/20/2018,343583996.1,222295208.2
6/21/2018,336732763.8,222295208.2
6/22/2018,275115309.1,222295208.2
6/23/2018,290639963.9,222295208.2
6/24/2018,261731589.5,222295208.2
6/25/2018,277861538.4,222295208.2
6/26/2018,262936650.1,222295208.2
6/27/2018,261458891.5,222295208.2
6/28/2018,282718574.5,222295208.2
6/29/2018,347678875.3,222295208.2
6/30/2018,325707974.1,222295208.2
7/1/2018,326284584.1,222295208.2
7/2/2018,360897131.3,222295208.2
7/3/2018,340590636.1,222295208.2
7/4/2018,415970007.8,222295208.2
7/5/2018,415980506,222295208.2
7/6/2018,393332526.1,222295208.2
7/7/2018,379249796.6,222295208.2
7/8/2018,371624392.8,222295208.2
7/9/2018,335775679.4,222295208.2
7/10/2018,290120720.9,222295208.2
7/11/2018,315067141.1,222295208.2
7/12/2018,275609396.5,222295208.2
7/13/2018,296829777.4,222295208.2
7/14/2018,298981008,222295208.2
7/15/2018,300622628.1,222295208.2
7/16/2018,311677284,222295208.2
7/17/2018,321454459.6,222295208.2
7/18/2018,306471571.9,222295208.2
7/19/2018,283585975.1,222295208.2
7/20/2018,262306170.7,222295208.2
7/21/2018,269181910,222295208.2
7/22/2018,264632704.9,222295208.2
7/23/2018,250438326.7,222295208.2
7/24/2018,252040237.5,222295208.2
7/25/2018,251485918.6,222295208.2
7/26/2018,228563473.5,222295208.2
7/27/2018,240092938.1,222295208.2
7/28/2018,238207797.1,222295208.2
7/29/2018,239012926.6,222295208.2
7/30/2018,215430038.4,222295208.2
7/31/2018,182243607.6,222295208.2
8/1/2018,175081261.3,222295208.2
8/2/2018,159847891,222295208.2
8/3/2018,166189348.2,222295208.2
8/4/2018,148070477.6,222295208.2
8/5/2018,157135146,222295208.2
8/6/2018,147413065.5,222295208.2
8/7/2018,136570937.8,222295208.2
8/8/2018,114710506.7,222295208.2
8/9/2018,124364340.6,222295208.2
8/10/2018,109518373,222295208.2
8/11/2018,104482591.9,222295208.2
8/12/2018,101897212.6,222295208.2
8/13/2018,86449422.04,222295208.2
8/14/2018,80194652.65,222295208.2
8/15/2018,82201980.38,222295208.2
8/16/2018,94984318.8,222295208.2
8/17/2018,120549652.4,222295208.2
8/18/2018,97082645.69,222295208.2
8/19/2018,108315125.6,222295208.2
8/20/2018,97252660.18,222295208.2
8/21/2018,99374133.03,222295208.2
8/22/2018,88740793.39,222295208.2
8/23/2018,96483451.51,222295208.2
8/24/2018,103389458,222295208.2
8/25/2018,103847683.5,222295208.2
8/26/2018,108274716.2,222295208.2
8/27/2018,118477469.6,222295208.2
8/28/2018,127077069,222295208.2
8/29/2018,112318562.3,222295208.2
8/30/2018,110844570.6,222295208.2
8/31/2018,108968557.9,222295208.2
9/1/2018,117312659.4,222295208.2
9/2/2018,111141848.6,222295208.2
9/3/2018,109824665.9,222295208.2
9/4/2018,108921602.2,222295208.2
9/5/2018,86906356.12,222295208.2
9/6/2018,86635939.29,222295208.2
9/7/2018,83293802.52,222295208.2
9/8/2018,77887249.78,222295208.2
9/9/2018,74791305.18,222295208.2
9/10/2018,74525322.11,222295208.2
9/11/2018,69252850.99,222295208.2
9/12/2018,65393404.21,222295208.2
9/13/2018,71439068,222295208.2
9/14/2018,71639604.99,222295208.2
9/15/2018,73395245.78,222295208.2
9/16/2018,76390399.42,222295208.2
9/17/2018,68550298.89,222295208.2
9/18/2018,68960158.23,222295208.2
9/19/2018,68004972.22,222295208.2
9/20/2018,68760356.54,222295208.2
9/21/2018,70843259.09,222295208.2
9/22/2018,73220245.17,222295208.2
9/23/2018,73920391.5,222295208.2
9/24/2018,71152302.18,222295208.2
9/25/2018,68795022.8,222295208.2
9/26/2018,73882323.44,222295208.2
9/27/2018,77173751.11,222295208.2
9/28/2018,75525353.49,222295208.2
9/29/2018,75699008.14,222295208.2
9/30/2018,75160685.1,222295208.2
10/1/2018,74687572.54,222295208.2
10/2/2018,72798323.58,222295208.2
10/3/2018,70260706.12,222295208.2
10/4/2018,72153888.95,222295208.2
10/5/2018,75179080.7,222295208.2
10/6/2018,74806007.81,222295208.2
10/7/2018,77809225.16,222295208.2
10/8/2018,76742196.92,222295208.2
10/9/2018,75505734.56,222295208.2
10/10/2018,75591109.14,222295208.2
10/11/2018,66179647.5,222295208.2
10/12/2018,66293639.48,222295208.2
10/13/2018,73618036.65,222295208.2
10/14/2018,81386732.66,222295208.2
10/15/2018,78535712.03,222295208.2
10/16/2018,84970505.89,222295208.2
10/17/2018,82071160.97,222295208.2
10/18/2018,79793554.26,222295208.2
10/19/2018,84536871.5,222295208.2
10/20/2018,95714592.61,222295208.2
10/21/2018,90464977.61,222295208.2
10/22/2018,95095377.82,222295208.2
10/23/2018,93341069.8,222295208.2
10/24/2018,94259665.73,222295208.2
10/25/2018,89900244.76,222295208.2
10/26/2018,86946101.43,222295208.2
10/27/2018,84668853.5,222295208.2
10/28/2018,85635091.11,222295208.2
10/29/2018,80755730.08,222295208.2
10/30/2018,83402874.05,222295208.2
10/31/2018,82666646.11,222295208.2
11/1/2018,86978390.41,222295208.2
11/2/2018,85558000.98,222295208.2
11/3/2018,83360934.5,222295208.2
11/4/2018,80334976.8,222295208.2
11/5/2018,76859132.19,222295208.2
11/6/2018,76597736.19,222295208.2
11/7/2018,77918174.3,222295208.2
11/8/2018,75332898.29,222295208.2
11/9/2018,72626464.21,222295208.2
11/10/2018,73793026.5,222295208.2
11/11/2018,77948481.72,222295208.2
11/12/2018,73024043.11,222295208.2
