Date,Market Cap (USD),Number of Coins
7/1/2016,209037080.4,1.02022E+11
7/2/2016,207529570.9,1.02022E+11
7/3/2016,200264005.7,1.02022E+11
7/4/2016,196060368.6,1.02022E+11
7/5/2016,188945787.6,1.02022E+11
7/6/2016,189312912.6,1.02022E+11
7/7/2016,181887017.8,1.02022E+11
7/8/2016,190623161.2,1.02022E+11
7/9/2016,181160364.5,1.02022E+11
7/10/2016,186686120,1.02022E+11
7/11/2016,183087414.4,1.02022E+11
7/12/2016,200901489.7,1.02022E+11
7/13/2016,218945027,1.02022E+11
7/14/2016,208458121.8,1.02022E+11
7/15/2016,202277888.2,1.02022E+11
7/16/2016,201143924.2,1.02022E+11
7/17/2016,196114514.8,1.02022E+11
7/18/2016,203552952.8,1.02022E+11
7/19/2016,195109060.1,1.02022E+11
7/20/2016,191487211.2,1.02022E+11
7/21/2016,191219223.8,1.02022E+11
7/22/2016,188643646.5,1.02022E+11
7/23/2016,220504878.3,1.02022E+11
7/24/2016,232985440.9,1.02022E+11
7/25/2016,222107418.8,1.02022E+11
7/26/2016,197182510.9,1.02022E+11
7/27/2016,195376088.7,1.02022E+11
7/28/2016,198398827.9,1.02022E+11
7/29/2016,205260354.4,1.021E+11
7/30/2016,197614416.7,1.021E+11
7/31/2016,195422515.6,1.021E+11
8/1/2016,192684710.7,1.021E+11
8/2/2016,173001487.9,1.021E+11
8/3/2016,184504631.9,1.021E+11
8/4/2016,194836142,1.021E+11
8/5/2016,196552711.4,1.021E+11
8/6/2016,198979081.7,1.021E+11
8/7/2016,194581675.6,1.021E+11
8/8/2016,188648610.4,1.021E+11
8/9/2016,190854162.3,1.021E+11
8/10/2016,192092298.9,1.021E+11
8/11/2016,193450846.4,1.021E+11
8/12/2016,191617871.6,1.021E+11
8/13/2016,209130193.1,1.021E+11
8/14/2016,205441488.5,1.021E+11
8/15/2016,207999602.1,1.021E+11
8/16/2016,205714549.2,1.021E+11
8/17/2016,205735285.8,1.02158E+11
8/18/2016,201588324.6,1.02158E+11
8/19/2016,200808164.9,1.02158E+11
8/20/2016,197816231.2,1.02158E+11
8/21/2016,196142783.5,1.02158E+11
8/22/2016,196378664.9,1.02158E+11
8/23/2016,192023596.4,1.02158E+11
8/24/2016,192136937.7,1.02158E+11
8/25/2016,193075790.5,1.02158E+11
8/26/2016,193969046.2,1.02158E+11
8/27/2016,191615297.1,1.02158E+11
8/28/2016,184091928.8,1.02158E+11
8/29/2016,186026586.6,1.02158E+11
8/30/2016,190301328.6,1.02158E+11
8/31/2016,194095384.9,1.02158E+11
9/1/2016,194742861.5,1.02158E+11
9/2/2016,194022049,1.02158E+11
9/3/2016,195039845,1.02158E+11
9/4/2016,199759558.2,1.02158E+11
9/5/2016,196161999.9,1.02158E+11
9/6/2016,194399532,1.02158E+11
9/7/2016,198068573.2,1.02158E+11
9/8/2016,200869017.4,1.02158E+11
9/9/2016,206056560.6,1.02158E+11
9/10/2016,206904582.2,1.02158E+11
9/11/2016,200466406.8,1.02158E+11
9/12/2016,199346468.9,1.02158E+11
9/13/2016,200076563.2,1.02158E+11
9/14/2016,199865788.5,1.02158E+11
9/15/2016,238625005.2,1.02236E+11
9/16/2016,213649837.3,1.02236E+11
9/17/2016,222530749,1.02236E+11
9/18/2016,214564844.8,1.02236E+11
9/19/2016,218447050.2,1.02236E+11
9/20/2016,209887671.5,1.02236E+11
9/21/2016,213200563.5,1.02236E+11
9/22/2016,218210334.5,1.02236E+11
9/23/2016,212496750.1,1.02236E+11
9/24/2016,229465888.6,1.02236E+11
9/25/2016,254461326.2,1.02236E+11
9/26/2016,246401666.9,1.02236E+11
9/27/2016,264476089.2,1.02236E+11
9/28/2016,324878597.8,1.02236E+11
9/29/2016,316462320,1.02236E+11
9/30/2016,289179205.7,1.02236E+11
10/1/2016,280171796.5,1.02236E+11
10/2/2016,292499558.8,1.02236E+11
10/3/2016,282409833.4,1.02236E+11
10/4/2016,264784462.1,1.02236E+11
10/5/2016,254238695.3,1.02236E+11
10/6/2016,235254316.1,1.02236E+11
10/7/2016,244092617.1,1.02295E+11
10/8/2016,236537139.4,1.02295E+11
10/9/2016,241906936.4,1.02295E+11
10/10/2016,251711209.4,1.02295E+11
10/11/2016,272501428.5,1.02295E+11
10/12/2016,268748879,1.02295E+11
10/13/2016,258636863.6,1.02295E+11
10/14/2016,253634139.9,1.02295E+11
10/15/2016,248373843.1,1.02295E+11
10/16/2016,247282302.2,1.02295E+11
10/17/2016,234003387.4,1.02295E+11
