Date,CapMrktCurUSD,Number of Coins
8/1/2018,13225098755,17269735.94
8/2/2018,12641957631,17271398.44
8/3/2018,12524716837,17273210.94
8/4/2018,12024888006,17275148.44
8/5/2018,12257983339,17276935.95
8/6/2018,11945760441,17278873.44
8/7/2018,11366604915,17280510.94
8/8/2018,10089120608,17282273.44
8/9/2018,10578222764,17283998.44
8/10/2018,9839164682,17285885.94
8/11/2018,9836828568,17287673.44
8/12/2018,9879855485,17289398.45
8/13/2018,9190581550,17291335.94
8/14/2018,8713448414,17293035.94
8/15/2018,8804181478,17294760.94
8/16/2018,8920695376,17296648.44
8/17/2018,10258858512,17298510.94
8/18/2018,9637506165,17300310.94
8/19/2018,9906581918,17301998.45
8/20/2018,8904678947,17303710.94
8/21/2018,9273553569,17305660.94
8/22/2018,8975521374,17307423.44
8/23/2018,9167997951,17309185.94
8/24/2018,9236418367,17311035.94
8/25/2018,9300182509,17312760.94
8/26/2018,9043463536,17314435.94
8/27/2018,9441833289,17316335.94
8/28/2018,9836933703,17318123.45
8/29/2018,9609450163,17319860.94
8/30/2018,9310871179,17321660.95
8/31/2018,9413471386,17323498.44
9/1/2018,10646301972,17325498.44
9/2/2018,11231143295,17327323.44
9/3/2018,10871901674,17329085.94
9/4/2018,10838109914,17330748.44
9/5/2018,9195933483,17332810.94
9/6/2018,8970013080,17334110.95
9/7/2018,8626679011,17336110.95
9/8/2018,8212092533,17337823.44
9/9/2018,8312758550,17339648.44
9/10/2018,8059665639,17341510.95
9/11/2018,7623145866,17343260.95
9/12/2018,7475611755,17345035.94
9/13/2018,8100740646,17346835.94
9/14/2018,7800307005,17348523.44
9/15/2018,7824114061,17350348.44
9/16/2018,7810464484,17352260.94
9/17/2018,7267893098,17353910.94
9/18/2018,7553154572,17355710.95
9/19/2018,7426153577,17357535.94
9/20/2018,7932783006,17359360.95
9/21/2018,8662292068,17361198.45
9/22/2018,8418500629,17362998.44
9/23/2018,8547644900,17364848.44
9/24/2018,8000895547,17366585.94
9/25/2018,7717112965,17368273.44
9/26/2018,8943128948,17370235.94
9/27/2018,9817155542,17372073.44
9/28/2018,9356850811,17373835.94
9/29/2018,9342277622,17375698.44
9/30/2018,9194155130,17377460.94
10/1/2018,9219439791,17379198.45
10/2/2018,9248724985,17380985.95
10/3/2018,8934064704,17382773.45
10/4/2018,8904090155,17384648.44
10/5/2018,9003074138,17386523.44
10/6/2018,8818909935,17388335.94
10/7/2018,8980493325,17390060.94
10/8/2018,9147935073,17391798.44
10/9/2018,8978041943,17393560.94
10/10/2018,8861854389,17395473.44
10/11/2018,7485708042,17397148.45
10/12/2018,7633785009,17398848.44
10/13/2018,7730047649,17400735.94
10/14/2018,7549076292,17402560.94
10/15/2018,7797607268,17404298.44
10/16/2018,7828958484,17406085.94
10/17/2018,7678240816,17407898.44
10/18/2018,7515207029,17409698.44
10/19/2018,7605313141,17411510.94
10/20/2018,7724810461,17413360.94
10/21/2018,7732546729,17414985.94
10/22/2018,7741626101,17416923.45
10/23/2018,7637531526,17418648.44
10/24/2018,7626915761,17420460.94
10/25/2018,7614469998,17422410.94
10/26/2018,7576957836,17424010.94
10/27/2018,7570730035,17425773.44
10/28/2018,7610580426,17427510.94
10/29/2018,7206826866,17429385.94
10/30/2018,7314080976,17431198.44
10/31/2018,7377618550,17433010.94
11/1/2018,7369672098,17434748.44
11/2/2018,8029591032,17436623.44
11/3/2018,8304110973,17438535.94
11/4/2018,9913687002,17440423.44
11/5/2018,9650831930,17442260.94
11/6/2018,10885435371,17444123.44
11/7/2018,10695983100,17445810.94
11/8/2018,9979980011,17447598.44
11/9/2018,9411959866,17449435.94
11/10/2018,9637450855,17451260.94
11/11/2018,9146421744,17453110.94
11/12/2018,8921233645,17454848.44
11/13/2018,8800943782,17456785.94
11/14/2018,7455142636,17458235.94
11/15/2018,6776530536,17460185.94
11/16/2018,6100926380,17462110.94
11/17/2018,6422899195,17463648.44
11/18/2018,5776442661,17465410.94
11/19/2018,4984376979,17467360.94
11/20/2018,3923652835,17468873.44
11/21/2018,4277469028,17470635.94
11/22/2018,3660064710,17472460.94
11/23/2018,3558871476,17473998.44
11/24/2018,3060099494,17475385.94
11/25/2018,3146653255,17477060.94
11/26/2018,3068477072,17478835.94
11/27/2018,3101701265,17480598.45
11/28/2018,3292692417,17482435.94
11/29/2018,3123614752,17484160.94
11/30/2018,2983674738,17486023.44
12/1/2018,2990593243,17487835.94
12/2/2018,2970791681,17489510.94
12/3/2018,2751727376,17491160.94
12/4/2018,2568311390,17492885.94
12/5/2018,2242398220,17494635.93
12/6/2018,1860953758,17496360.94
12/7/2018,1839480901,17498223.44
12/8/2018,1737819671,17499760.94
12/9/2018,1859139154,17501598.44
12/10/2018,1779379205,17503523.44
12/11/2018,1679110286,17505223.44
12/12/2018,1688471738,17506935.94
12/13/2018,1519161537,17508698.45
12/14/2018,1393937322,17510485.94
12/15/2018,1332088226,17512273.44
12/16/2018,1383047763,17514035.94
12/17/2018,1542342076,17515923.44
12/18/2018,1823155420,17517823.44
12/19/2018,2260503585,17519898.43
12/20/2018,3304613531,17521810.94
12/21/2018,3347624648,17523535.95
12/22/2018,3409825371,17525285.94
12/23/2018,3427079193,17527085.94
12/24/2018,3195465949,17528810.94
12/25/2018,2950685613,17530698.45
12/26/2018,3041378246,17532473.44
12/27/2018,2574170126,17534123.44
12/28/2018,2980357949,17536210.94
12/29/2018,2912840711,17537973.44
12/30/2018,2831610677,17539735.94
12/31/2018,2603903365,17541335.94
1/1/2019,2858007199,17543173.44
1/2/2019,2993905622,17545048.44
1/3/2019,2798630529,17546710.94
1/4/2019,2798989972,17548448.44
1/5/2019,2777378792,17550360.95
1/6/2019,2891363706,17552210.94
1/7/2019,2797831140,17553873.44
1/8/2019,2804053386,17555748.44
1/9/2019,2787524181,17557498.44
1/10/2019,2333645231,17559285.94
1/11/2019,2261239808,17561023.44
1/12/2019,2334037015,17562935.94
1/13/2019,2174166745,17564573.45
1/14/2019,2327126991,17566473.45
1/15/2019,2219995812,17568235.93
1/16/2019,2238227660,17569935.94
1/17/2019,2277628621,17571848.44
1/18/2019,2226069240,17573660.94
1/19/2019,2261399266,17575610.94
1/20/2019,2145611694,17577298.44
1/21/2019,2135945253,17579173.44
1/22/2019,2234701790,17580748.45
1/23/2019,2304750785,17582623.44
1/24/2019,2253905815,17584248.44
1/25/2019,2224814882,17586135.95
1/26/2019,2202711405,17587985.95
1/27/2019,2126232429,17589798.44
1/28/2019,1954605840,17591523.44
1/29/2019,1919986162,17593360.94
1/30/2019,2056532489,17595148.44
1/31/2019,1987281936,17596935.93
2/1/2019,2021026107,17598785.94
2/2/2019,2108324393,17600598.43
2/3/2019,2058154539,17602335.93
2/4/2019,2059853116,17604210.94
2/5/2019,2043360663,17606023.44
2/6/2019,1998625397,17607785.94
2/7/2019,2006524321,17609448.44
2/8/2019,2250180416,17611373.44
2/9/2019,2226210929,17613185.94
2/10/2019,2218421303,17614998.45
2/11/2019,2127021711,17616723.44
2/12/2019,2133412728,17618473.44
2/13/2019,2129437707,17620373.44
2/14/2019,2115372109,17622160.93
2/15/2019,2114129824,17623923.44
2/16/2019,2121739048,17625623.43
2/17/2019,2168665578,17627448.43
2/18/2019,2509561544,17629310.93
2/19/2019,2488731937,17631185.93
2/20/2019,2557101992,17632985.94
2/21/2019,2466267245,17634798.44
2/22/2019,2519771961,17636560.93
2/23/2019,2650884302,17638410.95
2/24/2019,2260314246,17640235.94
2/25/2019,2357315656,17642023.43
2/26/2019,2318493004,17643785.94
2/27/2019,2300808181,17645498.44
2/28/2019,2283138926,17647248.44
3/1/2019,2307702322,17649010.94
3/2/2019,2295466986,17650873.44
3/3/2019,2274820172,17652723.44
3/4/2019,2167521677,17654535.94
3/5/2019,2310054494,17656260.93
3/6/2019,2313095534,17658085.93
3/7/2019,2295142841,17659873.43
3/8/2019,2241359882,17661735.93
3/9/2019,2337789664,17663598.44
3/10/2019,2310328904,17665398.44
3/11/2019,2259474880,17667223.44
3/12/2019,2254422975,17668960.94
3/13/2019,2250329542,17670698.44
3/14/2019,2318803896,17672435.94
3/15/2019,2527757074,17674260.95
3/16/2019,2740164388,17676173.44
3/17/2019,2711996332,17678148.44
3/18/2019,2826029687,17679748.43
3/19/2019,2817287794,17681548.43
3/20/2019,2792291101,17683373.44
3/21/2019,2694434714,17685060.94
3/22/2019,2765453669,17686948.44
3/23/2019,2920524175,17688798.44
3/24/2019,2892724614,17690635.94
3/25/2019,2818509513,17692335.94
3/26/2019,2803044711,17693998.44
3/27/2019,3028180775,17696098.44
3/28/2019,2961010535,17697898.44
3/29/2019,3007401803,17699648.44
3/30/2019,2947162256,17701473.43
3/31/2019,2981620515,17703098.44
4/1/2019,2961729672,17704885.93
4/2/2019,4233983963,17706923.44
4/3/2019,5249734089,17708835.94
4/4/2019,5097468827,17710598.44
4/5/2019,5198649371,17712273.44
4/6/2019,5417271782,17714248.44
4/7/2019,5691584846,17716035.94
4/8/2019,5479481842,17717985.94
4/9/2019,5236152844,17719623.44
4/10/2019,5398103076,17721360.94
4/11/2019,4832664080,17723010.94
4/12/2019,5020416208,17724935.94
4/13/2019,4942862884,17726798.44
4/14/2019,5114655987,17728648.44
4/15/2019,5559910083,17730535.94
4/16/2019,5632832673,17732235.94
4/17/2019,5486563429,17733985.94
4/18/2019,5428048697,17735785.94
4/19/2019,5433060254,17737623.44
4/20/2019,5320675356,17739323.44
4/21/2019,5142936649,17741260.94
4/22/2019,5199316571,17742985.94
4/23/2019,5154687166,17744585.94
4/24/2019,4922629720,17746535.94
