Date,CapMrktCurUSD,Number of Coins
4/18/2019,4393534538,200000000
4/19/2019,4865168461,200000000
4/20/2019,4986854146,200000000
4/21/2019,4839555147,200000000
4/22/2019,4776442487,200000000
4/23/2019,4559480128,200000000
4/24/2019,4612294510,200000000
4/25/2019,4384902824,200000000
4/26/2019,4476001557,200000000
4/27/2019,4382876227,200000000
4/28/2019,4211419866,188345602
4/29/2019,4023384418,188345602
4/30/2019,4106539487,188345602
5/1/2019,4070088524,188345602
5/2/2019,4355303634,188345602
5/3/2019,4392674266,188345602
5/4/2019,4264730098,188345602
5/5/2019,4283716364,188345602
5/6/2019,4139282217,188345602
5/7/2019,3944465325,188345602
5/8/2019,3860150923,188345602
5/9/2019,3513281741,188345602
5/10/2019,3669694979,188345602
5/11/2019,4060420984,188345602
5/12/2019,3917087197,188345602
5/13/2019,4414619589,188345602
5/14/2019,4441394742,188345602
5/15/2019,5083532808,188345602
5/16/2019,4954990185,188345602
5/17/2019,4813021644,188345602
5/18/2019,5434353095,188345602
5/19/2019,5534522454,188345602
5/20/2019,5529573083,188345602
5/21/2019,6124298038,188345602
5/22/2019,5903605620,188345602
5/23/2019,5967934319,188345602
5/24/2019,6420676235,188345602
5/25/2019,6639813358,188345602
5/26/2019,6367477451,188345602
5/27/2019,6355415748,188345602
5/28/2019,6238825714,188345602
5/29/2019,6334311074,188345602
5/30/2019,5976530843,188345602
5/31/2019,6188075109,188345602
6/1/2019,6213436007,188345602
6/2/2019,6260240378,188345602
6/3/2019,5811598721,188345602
6/4/2019,5475892593,188345602
6/5/2019,5834869151,188345602
6/6/2019,5879034038,188345602
6/7/2019,5948116936,188345602
6/8/2019,6003783312,188345602
6/9/2019,5692029813,188345602
6/10/2019,6039862322,188345602
6/11/2019,6035858058,188345602
6/12/2019,6582339408,188345602
6/13/2019,6598000695,188345602
6/14/2019,6142543652,188345602
6/15/2019,6196024641,188345602
6/16/2019,6090611934,188345602
6/17/2019,6376395511,188345602
6/18/2019,6463372575,188345602
6/19/2019,6637400181,188345602
6/20/2019,6916627819,188345602
6/21/2019,7294824725,188345602
6/22/2019,7128637079,188345602
6/23/2019,6988479300,188345602
6/24/2019,7036538432,188345602
6/25/2019,6763114789,188345602
6/26/2019,6674767601,188345602
6/27/2019,6334659974,188345602
6/28/2019,6469001668,188345602
6/29/2019,6679326122,188345602
6/30/2019,6032904015,188345602
7/1/2019,6242880488,188345602
7/2/2019,5993641560,188345602
7/3/2019,6138809268,188345602
7/4/2019,6222292468,188345602
7/5/2019,6152357294,188345602
7/6/2019,6128171759,188345602
7/7/2019,6234013183,188345602
7/8/2019,6311264196,188345602
7/9/2019,6138261430,188345602
7/10/2019,5873437561,188345602
7/11/2019,5511897981,188345602
7/12/2019,5993652191,187536713
7/13/2019,5889555187,187536713
7/14/2019,5407096029,187536713
7/15/2019,5314322025,187536713
7/16/2019,4707660759,187536713
7/17/2019,5176812258,187536713
7/18/2019,5469216209,187536713
7/19/2019,5454778410,187536713
7/20/2019,5850874097,187536713
7/21/2019,5694174175,187536713
7/22/2019,5747297641,187536713
7/23/2019,5511616844,187536713
7/24/2019,5436278339,187536713
7/25/2019,5427921096,187536713
7/26/2019,5421204514,187536713
7/27/2019,5181029335,187536713
7/28/2019,5187766402,187536713
7/29/2019,5059171722,187536713
7/30/2019,5026373061,187536713
7/31/2019,5194448494,187536713
8/1/2019,5400246256,187536713
8/2/2019,5230733520,187536713
