Date,Market Cap (USD),Number of Coins
7/1/2017,40933352571,16421950
7/2/2017,40016164520,16424300
7/3/2017,41042283520,16426375
7/4/2017,42072971057,16428337
7/5/2017,42765544531,16430150
7/6/2017,42856200092,16431962
7/7/2017,42869111557,16433825
7/8/2017,41422842687,16435875
7/9/2017,42287500692,16437587
7/10/2017,41515266566,16440062
7/11/2017,39229368836,16442237
7/12/2017,38361119626,16444450
7/13/2017,39515734045,16446387
7/14/2017,38827279394,16448125
7/15/2017,36684887479,16449737
7/16/2017,32771580869,16451762
7/17/2017,31798579624,16453612
7/18/2017,36754023388,16455650
7/19/2017,38232147177,16457525
7/20/2017,37361367950,16459550
7/21/2017,46724449316,16461487
7/22/2017,43934923289,16463475
7/23/2017,46237155260,16465637
7/24/2017,45001726487,16467862
7/25/2017,45415128813,16469675
7/26/2017,42459833933,16471537
7/27/2017,41821406182,16473487
7/28/2017,44149387826,16475312
7/29/2017,46252110646,16477300
7/30/2017,44895563359,16479125
7/31/2017,45540820278,16480950
8/1/2017,47327135423,16482825
8/2/2017,44955988090,16484725
8/3/2017,44670957723,16486425
8/4/2017,46282626691,16488700
8/5/2017,47784561339,16490912
8/6/2017,53726660658,16492662
8/7/2017,52993440669,16494575
8/8/2017,55597127439,16496587
8/9/2017,56430911874,16498337
8/10/2017,55140360000,16500000
8/11/2017,55674143361,16501812
8/12/2017,60248033481,16503462
8/13/2017,64041367774,16505337
8/14/2017,67118909395,16506950
8/15/2017,71433628862,16508850
8/16/2017,69349553957,16510462
8/17/2017,72398995001,16512712
8/18/2017,71414637256,16514575
8/19/2017,68341044432,16516475
8/20/2017,69199546244,16518125
8/21/2017,67572937970,16519562
8/22/2017,66055288949,16520637
8/23/2017,67561125694,16522612
8/24/2017,68369338291,16523912
8/25/2017,71600660737,16525187
8/26/2017,72254792753,16526487
8/27/2017,71817550840,16528400
8/28/2017,72475177723,16530050
8/29/2017,72561871069,16531875
8/30/2017,75566387085,16534012
8/31/2017,75331350130,16536025
9/1/2017,77758647232,16538200
9/2/2017,81070834691,16540275
9/3/2017,75850393786,16542187
9/4/2017,75965648581,16544375
9/5/2017,69964825419,16546837
9/6/2017,72427531422,16548850
9/7/2017,75955085597,16551050
9/8/2017,76230364771,16553250
9/9/2017,70025929996,16555337
9/10/2017,70025499581,16557075
9/11/2017,68264854693,16559212
9/12/2017,69043323008,16561600
9/13/2017,68442013420,16563975
9/14/2017,64200057609,16566175
9/15/2017,52460524920,16568400
9/16/2017,60279289085,16570487
9/17/2017,59765796556,16572700
9/18/2017,59519892764,16574325
9/19/2017,67528059642,16576225
9/20/2017,64924386077,16577737
9/21/2017,64686079990,16579925
9/22/2017,60158601369,16581662
9/23/2017,60197547863,16583712
9/24/2017,62961281186,16585562
9/25/2017,61066827658,16587125
9/26/2017,65167556738,16588787
9/27/2017,64586502334,16590675
9/28/2017,69642503815,16592887
9/29/2017,69228033900,16595000
9/30/2017,69143831983,16596737
10/1/2017,72054319360,16598362
10/2/2017,72971377912,16600212
10/3/2017,73191567362,16602525
10/4/2017,71719575370,16604175
10/5/2017,70240118316,16605700
10/6/2017,71819494347,16607737
10/7/2017,72573592695,16609700
10/8/2017,73585678040,16612000
10/9/2017,76665459928,16613962
10/10/2017,79361562675,16616012
10/11/2017,79586559188,16617750
10/12/2017,80265866463,16619637
10/13/2017,90821715816,16621350
10/14/2017,93813031266,16623112
10/15/2017,97026044779,16625550
10/16/2017,94571207689,16627700
10/17/2017,95481108904,16629762
10/18/2017,93200912999,16631675
10/19/2017,92879233192,16633875
10/20/2017,94960688771,16636100
10/21/2017,99774514062,16637987
10/22/2017,1.00452E+11,16640327.6
10/23/2017,99954554700,16642450
10/24/2017,98793833867,16644512
10/25/2017,91967115691,16646837
10/26/2017,95698263320,16649112
10/27/2017,98233030896,16650400
10/28/2017,96375664793,16651462
10/29/2017,95830916288,16653387
10/30/2017,1.01844E+11,16655191.87
10/31/2017,1.02141E+11,16656990.68
11/1/2017,1.07299E+11,16658826.23
11/2/2017,1.12923E+11,16660789.61
11/3/2017,1.18094E+11,16662222.24
11/4/2017,1.19388E+11,16663875.12
11/5/2017,1.23401E+11,16665631.26
11/6/2017,1.23392E+11,16667342.05
11/7/2017,1.1707E+11,16669277.1
11/8/2017,1.19054E+11,16671007.56
11/9/2017,1.24161E+11,16673000.46
11/10/2017,1.19618E+11,16674449.69
11/11/2017,1.10369E+11,16675555.74
11/12/2017,1.04986E+11,16676488.58
11/13/2017,99039469606,16678225
11/14/2017,1.09444E+11,16679773.47
11/15/2017,1.10679E+11,16681688.56
11/16/2017,1.22178E+11,16683599.06
11/17/2017,1.31034E+11,16684641.51
11/18/2017,1.28446E+11,16687345.15
11/19/2017,1.2961E+11,16689350.93
11/20/2017,1.34185E+11,16691607.36
11/21/2017,1.36985E+11,16693802.14
11/22/2017,1.34866E+11,16695572.52
11/23/2017,1.37461E+11,16697601.42
11/24/2017,1.34832E+11,16699487.99
11/25/2017,1.37648E+11,16701388.43
11/26/2017,1.46806E+11,16703303.2
