Date,Market Cap (USD),Number of Coins
7/1/2017,27267142736,92950887.12
7/2/2017,25579639032,92976297.73
7/3/2017,26823212355,93003752.83
7/4/2017,26252922256,93032787.33
7/5/2017,25414659667,93059903.58
7/6/2017,25022065231,93067266.35
7/7/2017,25167898701,93093762.53
7/8/2017,22901877186,93138709.12
7/9/2017,23460964056,93165610.58
7/10/2017,22646074027,93189885.3
7/11/2017,19717265092,93217024.83
7/12/2017,18382400447,93240681.95
7/13/2017,21619574494,93264201.26
7/14/2017,19546542928,93287562.3
7/15/2017,18635644723,93313528.23
7/16/2017,15827081043,93336563.32
7/17/2017,14936703212,93360230.09
7/18/2017,18212421094,93382664.69
7/19/2017,21945314495,93408165.89
7/20/2017,19193068584,93433300.48
7/21/2017,21126937476,93457212.58
7/22/2017,20365062137,93477747.81
7/23/2017,21423704024,93504294.8
7/24/2017,21164529968,93528348.44
7/25/2017,20990401812,93552622.06
7/26/2017,19379169255,93578488.85
7/27/2017,19175012557,93600568.96
7/28/2017,19129913989,93627221.95
7/29/2017,18106335157,93650228.39
7/30/2017,19366257822,93674459.81
7/31/2017,18496358461,93699890.89
8/1/2017,19183640355,93720457.06
8/2/2017,21280571598,93742881.8
8/3/2017,20644915659,93763809.88
8/4/2017,21130761061,93785278.33
8/5/2017,20904310149,93804398.25
8/6/2017,24058703462,93825378.14
8/7/2017,24516943166,93848350.81
8/8/2017,25260337567,93869704.82
8/9/2017,27944700831,93890739.61
8/10/2017,27888653640,93913839.04
8/11/2017,27663301817,93936302.82
8/12/2017,29005559926,93957305.97
8/13/2017,29168657707,93980274.21
8/14/2017,28014870764,94000170.33
8/15/2017,28202088929,94022633.54
8/16/2017,27256102449,94044932.89
8/17/2017,28483623953,94067450.31
8/18/2017,28387170327,94090720.34
8/19/2017,27874479564,94113308
8/20/2017,27924140899,94134779.19
8/21/2017,28292722090,94158420.16
8/22/2017,30236220886,94179164.88
8/23/2017,29699369486,94202967.25
8/24/2017,29912079227,94226111.91
8/25/2017,30733657044,94243221.75
8/26/2017,31294622673,94263750.94
8/27/2017,31524347460,94282651.81
8/28/2017,33008581101,94299454.64
8/29/2017,32819088618,94318567.13
8/30/2017,34855640373,94339568.5
8/31/2017,35708662194,94357526.14
9/1/2017,36190424575,94376156.09
9/2/2017,36608584106,94395812.76
9/3/2017,33066781849,94414475.77
9/4/2017,32780402091,94432639.33
9/5/2017,28105730996,94450821.64
9/6/2017,29644511962,94469445.39
9/7/2017,31513922806,94488854.66
9/8/2017,31153537452,94507758.32
9/9/2017,27996752034,94529331.24
9/10/2017,27802127814,94545765.54
9/11/2017,27399613999,94566211.08
9/12/2017,27867855038,94585938.42
9/13/2017,27541238024,94604417.5
9/14/2017,26171552833,94622194.7
9/15/2017,20369307399,94644119.5
9/16/2017,23748040773,94662736.77
9/17/2017,23277271538,94680787.22
9/18/2017,23885994868,94699262.05
9/19/2017,27815754798,94720952.11
9/20/2017,26718421056,94739454.85
9/21/2017,26841180344,94758103.31
9/22/2017,24462078754,94773851.28
9/23/2017,25080956455,94788195.22
9/24/2017,27134234885,94805334.84
9/25/2017,26760055861,94819842.18
9/26/2017,27724649559,94833759.39
9/27/2017,27223531815,94848901.87
9/28/2017,29073714460,94866428.88
9/29/2017,28380112219,94878684.87
9/30/2017,27660342293,94896192.85
10/1/2017,28619752597,94908813.12
10/2/2017,28712379844,94923234.08
10/3/2017,28243047611,94940996.41
10/4/2017,27797990491,94954707.06
10/5/2017,27804873684,94971731
10/6/2017,28034882208,94985201.45
10/7/2017,29345193755,95002084.09
10/8/2017,29555498406,95015425.98
10/9/2017,29333493363,95031889.6
10/10/2017,28285911274,95046744.87
10/11/2017,28630472484,95061001.67
10/12/2017,28855676367,95076363.65
10/13/2017,28915643520,95092224.15
10/14/2017,32227275581,95107792.77
10/15/2017,32296953084,95122531.39
10/16/2017,32035021227,95141282.49
10/17/2017,31734248140,95160873.64
10/18/2017,30166457117,95180340.5
10/19/2017,29944347702,95200444.15
10/20/2017,29332606724,95220278.28
10/21/2017,28912227855,95240728.18
10/22/2017,28630624714,95260770.97
10/23/2017,28117872436,95282522.66
10/24/2017,27363235719,95302437.03
10/25/2017,28448754585,95324871.28
10/26/2017,28413986062,95342547.69
10/27/2017,28276657471,95364937
10/28/2017,28416724623,95383742.69
10/29/2017,28275857817,95404068.48
10/30/2017,29083667334,95425117.57
10/31/2017,29337919659,95445115.68
11/1/2017,29189984956,95466983.77
11/2/2017,27760545036,95485656.92
11/3/2017,27553649069,95506582.56
11/4/2017,29181323294,95526133.61
11/5/2017,28668223805,95548006.28
11/6/2017,28329199382,95567922.89
11/7/2017,28539525476,95587384.79
11/8/2017,28134554591,95607960.69
11/9/2017,29515079614,95629469.98
11/10/2017,30672006458,95649753.51
11/11/2017,28565963186,95669524.05
11/12/2017,30112310691,95688807.05
11/13/2017,29384461123,95708621.99
11/14/2017,30323494599,95730188.78
11/15/2017,32359508340,95749521.66
11/16/2017,31934140323,95771774
11/17/2017,31627690638,95792139.32
11/18/2017,31807621191,95811859.72
11/19/2017,33291573727,95830667.03
11/20/2017,33940277137,95852119.9
11/21/2017,35227504313,95872807.3
11/22/2017,34551404165,95893547.68
11/23/2017,36584843458,95912446.15
11/24/2017,39572779796,95934011.63
11/25/2017,45643054347,95953276.04
11/26/2017,44721221529,95974465.16
11/27/2017,45263936558,95993757.68
11/28/2017,46137355825,96015474.54
11/29/2017,45451998107,96036169.09
11/30/2017,41420634781,96056758.38
12/1/2017,42774148959,96076343.66
12/2/2017,44862591600,96096372.71
12/3/2017,44569709982,96117554.41
12/4/2017,44805171917,96138122.34
12/5/2017,45222228133,96158175.03
12/6/2017,44492017191,96178160.81
12/7/2017,41016407299,96199093.04
12/8/2017,41854784993,96220108.49
12/9/2017,44014827243,96240930.69
12/10/2017,45511313844,96261160.02
12/11/2017,42398072798,96280481.42
12/12/2017,50297547825,96301954.52
12/13/2017,62119038898,96322027.72
12/14/2017,67496470001,96342325.76
12/15/2017,67105793957,96363758.23
12/16/2017,66137925487,96384274.74
12/17/2017,67121324224,96405440.97
12/18/2017,69592607484,96424712.13
12/19/2017,76568727744,96446312.82
12/20/2017,79827640185,96466115.85
12/21/2017,79142776721,96487341.17
12/22/2017,79391000290,96507585.69
12/23/2017,65766475645,96528027.42
12/24/2017,69685910816,96548638.51
12/25/2017,67489469123,96569417.95
12/26/2017,73733324636,96589235.41
12/27/2017,74870262805,96610530.48
12/28/2017,73653192268,96631102.02
12/29/2017,71559533732,96651134.85
12/30/2017,72872774141,96671319.6
12/31/2017,68865417605,96692573.26
1/1/2018,73091720178,96712872.05
1/2/2018,74710378603,96731246.98
1/3/2018,85723877182,96753811.72
1/4/2018,93065343759,96770693.62
1/5/2018,94448336368,96795630.41
1/6/2018,96347217994,96816779.37
1/7/2018,1.01E+11,96837997.72
1/8/2018,1.12E+11,96858218.36
