Date,Market Cap (USD),Number of Coins
7/1/2017,2092623686,51797615.99
7/2/2017,2018032256,51810840.98
7/3/2017,2149610752,51822824.3
7/4/2017,2414011689,51847330.09
7/5/2017,2866509175,51863744.8
7/6/2017,2759775895,51875486.75
7/7/2017,2651371753,51885944.29
7/8/2017,2420790393,51903739.13
7/9/2017,2718522349,51919830.96
7/10/2017,2591835961,51930193.57
7/11/2017,2403690603,51949224.18
7/12/2017,2351904737,51964311.47
7/13/2017,2532260448,51975789.16
7/14/2017,2410525857,51995812.27
7/15/2017,2226624890,52011793.74
7/16/2017,2024855622,52026095.12
7/17/2017,2143501506,52039366.5
7/18/2017,2218752559,52058952.58
7/19/2017,2309685460,52078589.85
7/20/2017,2133366054,52084132.18
7/21/2017,2348549177,52108923.39
7/22/2017,2385500559,52119304.33
7/23/2017,2430945736,52132655.72
7/24/2017,2302803698,52146822.87
7/25/2017,2320424316,52167812.86
7/26/2017,2206708553,52180386.69
7/27/2017,2210491480,52195784.65
7/28/2017,2204626925,52217596.52
7/29/2017,2118123987,52221991.79
7/30/2017,2151513646,52246567.41
7/31/2017,2108227384,52261462.17
8/1/2017,2248586080,52268388.66
8/2/2017,2252163155,52290762.83
8/3/2017,2206718958,52304312.82
8/4/2017,2243888832,52317296.15
8/5/2017,2275870432,52330890.6
8/6/2017,2452554835,52349089.33
8/7/2017,2364874800,52354987.82
8/8/2017,2404123978,52377428.71
8/9/2017,2545725127,52391955.69
8/10/2017,2518026950,52404306.97
8/11/2017,2432222558,52418589.61
8/12/2017,2467207273,52437986.67
8/13/2017,2442708881,52452413.16
8/14/2017,2404622741,52468312.04
8/15/2017,2403391518,52464342.24
8/16/2017,2275624267,52470008.46
8/17/2017,2319864526,52509382.66
8/18/2017,2305604403,52519462.48
8/19/2017,2471610950,52531582.36
8/20/2017,2384624565,52547919.02
8/21/2017,2427608836,52557021.78
8/22/2017,2518313496,52574394.49
8/23/2017,2456531720,52591130.81
8/24/2017,2778536432,52603870.35
8/25/2017,2639991410,52620917.08
8/26/2017,2693551727,52639275.49
8/27/2017,2727570399,52655799.21
8/28/2017,3231877606,52670756.29
8/29/2017,3287304454,52689604.97
8/30/2017,3329100907,52709007.39
8/31/2017,3382583960,52721071.7
9/1/2017,3737158064,52740023.48
9/2/2017,4528217262,52757978.12
9/3/2017,4167922105,52771867.62
9/4/2017,4049769712,52779482.76
9/5/2017,3445279101,52801212.28
9/6/2017,3791200113,52816942.23
9/7/2017,4220260257,52832501.97
9/8/2017,4146092249,52850124.27
9/9/2017,3552733145,52860186.65
9/10/2017,3479310620,52877061.09
9/11/2017,3260596202,52888827.28
9/12/2017,3504510323,52906254.88
9/13/2017,3403669236,52917743.1
9/14/2017,3263187407,52939445.28
9/15/2017,2207529813,52951062.92
9/16/2017,2549041408,52961591.69
9/17/2017,2555169978,52978850.88
9/18/2017,2571571577,52989317.47
9/19/2017,2951195485,53002792.47
9/20/2017,2796648060,53027077.36
9/21/2017,2739712063,53033528.13
9/22/2017,2474954561,53053688.34
9/23/2017,2555852680,53070030.73
9/24/2017,2614269407,53081612.32
9/25/2017,2528552252,53098535.32
9/26/2017,2745253849,53109960.32
9/27/2017,2740423927,53129583.7
9/28/2017,2986835914,53137091.51
9/29/2017,2876485597,53159962.98
9/30/2017,2798605342,53175096.75
10/1/2017,2932991749,53191725.59
10/2/2017,2902017485,53199220.62
10/3/2017,2841285034,53217550.74
10/4/2017,2783005009,53232689.54
10/5/2017,2736864554,53246392.1
10/6/2017,2750428226,53261584.55
10/7/2017,2778014523,53279910.3
10/8/2017,2797360841,53293214.73
10/9/2017,2829646134,53309083.16
10/10/2017,2673741424,53314883.83
10/11/2017,2706443575,53328937.44
10/12/2017,2714639390,53343277.46
10/13/2017,3230878048,53358844.72
10/14/2017,3171053266,53375749.3
10/15/2017,3423919105,53390287
10/16/2017,3510047872,53409127.69
10/17/2017,3454715649,53420684.23
10/18/2017,3184314482,53437061.29
10/19/2017,3250851136,53450363.96
10/20/2017,3197775389,53465564.1
10/21/2017,3224915538,53481186.37
10/22/2017,3116919404,53490979.99
10/23/2017,3037676253,53508477.24
10/24/2017,2941762468,53525517.98
10/25/2017,2995612380,53540882.57
10/26/2017,3023899941,53548785.92
10/27/2017,2982126709,53567930.82
10/28/2017,2967543021,53585103.3
10/29/2017,2929910388,53592653.89
10/30/2017,3047319309,53612232.74
10/31/2017,3023109073,53629751.16
11/1/2017,2989934808,53640739.29
11/2/2017,2873489234,53649911.02
11/3/2017,2929218256,53668344.74
11/4/2017,3017905139,53680276.4
11/5/2017,2954721753,53692926.64
11/6/2017,2941368206,53713809.46
11/7/2017,2954083451,53720375.54
11/8/2017,3284124416,53741194.83
11/9/2017,3359012876,53752806.47
11/10/2017,3464908069,53769523.11
11/11/2017,3192312241,53787906.34
11/12/2017,3352197825,53798713.29
11/13/2017,3184682318,53813489.66
11/14/2017,3318075890,53829913.85
11/15/2017,3380473514,53846344.6
11/16/2017,3436572719,53856334.73
11/17/2017,3795082385,53869160.89
11/18/2017,3632637006,53888696.13
11/19/2017,3746768412,53902581.1
11/20/2017,3850582359,53922172.79
11/21/2017,3893989593,53933373.86
11/22/2017,3786252011,53950584.37
11/23/2017,3884385506,53964788.91
11/24/2017,3947741103,53975131.3
11/25/2017,4206214724,53988123.78
11/26/2017,4803133280,54004196.99
11/27/2017,4640250243,54025500.56
11/28/2017,4956805304,54042796.6
11/29/2017,5190184417,54058789.89
11/30/2017,4663823132,54073311.68
12/1/2017,4759731200,54087854.55
12/2/2017,5352677848,54100241.03
12/3/2017,5421652737,54113711.32
12/4/2017,5488450531,54126731.07
12/5/2017,5646242876,54145021.83
12/6/2017,5551014964,54166812.69
12/7/2017,5417554394,54186381.22
12/8/2017,5330100210,54206246.42
12/9/2017,6912680349,54225606.75
12/10/2017,8441917174,54243508.15
12/11/2017,8044923871,54262268.12
12/12/2017,11531380481,54275536.48
12/13/2017,17121412217,54291641.99
12/14/2017,16357153737,54306619.31
12/15/2017,15262902057,54322176.95
12/16/2017,16266059766,54339746.66
12/17/2017,16403059549,54354362.61
12/18/2017,17341024843,54369101.25
12/19/2017,19530728025,54383448.96
12/20/2017,19017289455,54397281.05
12/21/2017,17121138620,54411550.94
12/22/2017,17376250372,54426644.03
12/23/2017,14659194171,54440502.73
12/24/2017,15847439365,54456683.16
12/25/2017,15115076805,54470708.15
12/26/2017,14880963379,54487068.87
12/27/2017,15619730800,54502009.14
12/28/2017,14835441299,54516008.15
12/29/2017,13651936591,54531402.4
12/30/2017,13368815286,54546555.49
12/31/2017,11838259093,54559217.87
1/1/2018,12643291327,54574573
1/2/2018,12500229122,54588537.15
1/3/2018,13961645253,54601663.09
1/4/2018,13407573409,54617783.16
1/5/2018,13167987674,54632152.32
1/6/2018,13649142598,54646845.49
1/7/2018,16181944278,54659497.65
1/8/2018,15731349864,54673999.46
1/9/2018,13923645502,54686169.05
1/10/2018,13569514945,54700346.45
1/11/2018,13761779462,54714453.97
1/12/2018,12575966402,54728083.91
1/13/2018,12967744929,54743941.78
1/14/2018,14268822971,54757936.03
1/15/2018,12997328248,54774024.39
1/16/2018,12755910738,54788724.07
1/17/2018,10420658842,54802307.87
1/18/2018,10248095235,54817305.35
1/19/2018,10483721030,54834044.82
1/20/2018,10661133292,54846863.32
1/21/2018,11588995280,54861746.26
1/22/2018,10524547874,54875373.45
1/23/2018,9895453289,54889357.05
1/24/2018,9796555160,54904193.02
1/25/2018,9971305603,54920167.45
1/26/2018,9878780607,54937051.53
1/27/2018,9707580594,54950643.01
1/28/2018,9971725908,54964865.55
1/29/2018,10652940518,54982918.8
1/30/2018,9979033661,54996052.14
1/31/2018,9093371183,55011319.92
2/1/2018,9006577616,55025523.07
2/2/2018,7846529374,55040189.21
2/3/2018,7234389036,55056233.15
2/4/2018,8832610694,55073018.42
2/5/2018,8192953148,55086083.16
2/6/2018,7026698665,55102718.51
2/7/2018,7853188363,55117829.61
2/8/2018,7626799402,55130832.75
2/9/2018,8257172761,55147083.16
2/10/2018,9018393973,55161746.73
2/11/2018,8573691134,55175308.15
2/12/2018,8283796374,55188516.82
2/13/2018,8930746151,55206442.18
2/14/2018,8811891800,55219274.35
2/15/2018,11728775984,55233228.09
2/16/2018,12458783334,55249593.5
2/17/2018,12683349026,55265137.37
2/18/2018,12742104864,55277883.23
2/19/2018,11910474385,55292114.5
2/20/2018,12338610560,55307770.68
2/21/2018,12776795293,55322776.76
2/22/2018,11777818850,55336491.5
2/23/2018,10748774528,55351843.7
2/24/2018,11662459995,55366786.91
2/25/2018,11526026535,55378977.25
2/26/2018,12305486297,55395184.55
2/27/2018,12284696652,55408852.34
2/28/2018,12042139390,55422217.37
3/1/2018,11260563138,55437983.15
3/2/2018,11619953949,55451939.63
3/3/2018,11861455612,55468834.7
3/4/2018,11664532569,55481985.2
3/5/2018,11861853439,55496647.51
3/6/2018,11686223330,55513863.14
3/7/2018,10929720315,55528731.98
3/8/2018,10314519913,55543995.22
3/9/2018,9804549193,55556149.1
3/10/2018,10453722865,55572393.09
3/11/2018,9866900629,55585041.01
3/12/2018,10509907163,55602090.59
3/13/2018,9877617191,55617213.91
3/14/2018,9787665610,55630701.43
3/15/2018,8969652067,55643002.9
3/16/2018,9173902810,55660131.11
3/17/2018,9196840452,55674317.16
3/18/2018,8494983401,55690201.92
3/19/2018,8660837362,55703867.78
3/20/2018,8999266297,55716111.3
3/21/2018,9449978611,55732357.93
3/22/2018,9405776516,55747845.64
3/23/2018,9121175011,55759720.08
3/24/2018,9399685756,55774555.01
3/25/2018,8862989978,55791199.66
3/26/2018,8937741547,55805079.59
3/27/2018,8314881432,55819558.49
3/28/2018,7564826477,55833098.21
3/29/2018,7368139781,55848857.58
3/30/2018,6413115740,55863377.53
3/31/2018,6629378613,55878106.99
4/1/2018,6534197372,55895614.82
4/2/2018,6442785504,55907545.16
4/3/2018,6683476508,55923993.87
4/4/2018,7490917193,55939938.71
4/5/2018,6614439199,55954988.57
4/6/2018,6650620984,55972235.18
4/7/2018,6333988683,55983636.94
4/8/2018,6512113572,55998912.82
4/9/2018,6597115471,56012187.73
4/10/2018,6455044495,56028508.77
4/11/2018,6404835770,56040211.48
4/12/2018,6630502954,56052945.76
