Date,CapMrktCurUSD,Number of Coins
7/15/2018,3348216300,100000000
7/16/2018,3684567747,100000000
7/17/2018,3929847339,100000000
7/18/2018,3761782885,100000000
7/19/2018,3588915602,100000000
7/20/2018,3315313092,100000000
7/21/2018,3420877532,100000000
7/22/2018,3317825721,100000000
7/23/2018,3219371110,100000000
7/24/2018,3395193657,100000000
7/25/2018,3421821742,100000000
7/26/2018,3306801149,100000000
7/27/2018,3342014371,100000000
7/28/2018,3361693597,100000000
7/29/2018,3342780445,100000000
7/30/2018,3194752485,100000000
7/31/2018,2963081032,100000000
8/1/2018,2960461042,100000000
8/2/2018,2818028434,100000000
8/3/2018,2785446449,100000000
8/4/2018,2670706780,100000000
8/5/2018,2748880364,100000000
8/6/2018,2611991158,100000000
8/7/2018,2515940366,100000000
8/8/2018,2166225246,100000000
8/9/2018,2258843633,100000000
8/10/2018,1972229501,100000000
8/11/2018,1875116758,100000000
8/12/2018,1841115127,100000000
8/13/2018,1588052507,100000000
8/14/2018,1562909740,100000000
8/15/2018,1574461143,100000000
8/16/2018,1591191232,100000000
8/17/2018,2036698176,100000000
8/18/2018,1871127185,100000000
8/19/2018,1946671985,100000000
8/20/2018,1724349438,100000000
8/21/2018,1783699799,100000000
8/22/2018,1660231978,100000000
8/23/2018,1764797023,100000000
8/24/2018,1778740517,100000000
8/25/2018,1769338996,100000000
8/26/2018,1740541269,100000000
8/27/2018,2040455713,100000000
8/28/2018,2142037739,100000000
8/29/2018,1986796374,100000000
8/30/2018,1941375581,100000000
8/31/2018,2015582729,100000000
9/1/2018,2250433504,100000000
9/2/2018,2196495891,100000000
9/3/2018,2287642958,100000000
9/4/2018,2425151564,100000000
9/5/2018,1978233903,100000000
9/6/2018,2028234278,100000000
9/7/2018,1946618066,100000000
9/8/2018,1790280990,100000000
9/9/2018,1838048431,100000000
9/10/2018,1844378571,100000000
9/11/2018,1763230278,100000000
9/12/2018,1757209631,100000000
9/13/2018,1825566173,100000000
9/14/2018,1784416114,100000000
9/15/2018,1815910100,100000000
9/16/2018,1790832835,100000000
9/17/2018,1661253668,100000000
9/18/2018,1691658077,100000000
9/19/2018,1707215438,100000000
