Date,Market Cap (USD),Number of Coins
9/13/2017,0,0
9/14/2017,0,0
9/15/2017,0,0
9/16/2017,0,0
9/17/2017,0,0
9/18/2017,0,0
9/19/2017,0,0
9/20/2017,0,0
9/21/2017,0,0
9/22/2017,0,0
9/23/2017,0,0
9/24/2017,0,0
9/25/2017,0,0
9/26/2017,0,0
9/27/2017,0,0
9/28/2017,25802729.09,10067393324
9/29/2017,29202481.28,10066349976
9/30/2017,19959147.59,10065127378
10/1/2017,22757585.31,10065274352
10/2/2017,73920263.72,40000142706
10/3/2017,109897989,39991990175
10/4/2017,98767293.05,40002953848
10/5/2017,130768664.8,40002650597
10/6/2017,132819604,39993858476
10/7/2017,195036872.5,65120825543
10/8/2017,167018655,65114485380
10/9/2017,167156335.9,65117388352
10/10/2017,142983667.3,65408813952
10/11/2017,149684912.5,65393146571
10/12/2017,161573128.4,65387749251
10/13/2017,153333130.9,65387262644
10/14/2017,138231748.2,65388717219
10/15/2017,155482779.6,65383843398
10/16/2017,149588193.6,65408042676
10/17/2017,140969861.5,65384907931
10/18/2017,127051568,65389381369
10/19/2017,136989613.4,65420063706
10/20/2017,125367084.5,65431672495
10/21/2017,127798908,65437228879
10/22/2017,150871259.7,65425524588
10/23/2017,168461747.6,65422037903
10/24/2017,158686273.8,65437638680
10/25/2017,173752068.9,65418700640
10/26/2017,198164555.8,65422435061
10/27/2017,185826420.2,65431838099
10/28/2017,200159522.5,65432991991
10/29/2017,195523248.1,65436160676
10/30/2017,193077208.6,65427722331
10/31/2017,180826318.8,65516782174
11/1/2017,182332840.8,65540201582
11/2/2017,165377419.9,65521957171
11/3/2017,151000005.1,65538196658
11/4/2017,145993382.3,65526652738
11/5/2017,139288452.2,65516675541
11/6/2017,145039139,65539601898
11/7/2017,140527081.2,65513790769
11/8/2017,142395198.3,65529313530
11/9/2017,150976955.3,65528192405
11/10/2017,152977925.2,65515171392
11/11/2017,132776688.5,65536371422
11/12/2017,131421538.5,65514226570
11/13/2017,117765085.1,65607289749
11/14/2017,138514465.3,65615568593
11/15/2017,160380741.6,65622234697
11/16/2017,152431866.5,65618539173
11/17/2017,143498944.6,65614515135
11/18/2017,129914120.8,65613192323
11/19/2017,132512167.5,65600082921
11/20/2017,130752999,65606120923
11/21/2017,140965416.8,65626357914
11/22/2017,140831601.5,65625163793
11/23/2017,151630647.2,65612569104
11/24/2017,138173876.9,65609628158
11/25/2017,132994044.3,65611270005
11/26/2017,134690113.5,65702494390
11/27/2017,141396928,65735438401
11/28/2017,135573947.5,65748762124
11/29/2017,151898153.9,65756776580
11/30/2017,137402087.6,65742625646
12/1/2017,147347960.3,65750986301
12/2/2017,138714632.7,65741532085
12/3/2017,136754947.4,65747570865
12/4/2017,139644601.1,65746045716
12/5/2017,140634034.3,65747561618
12/6/2017,135959696.1,65744533897
12/7/2017,206033627.5,65741425495
12/8/2017,283468195,65754626537
12/9/2017,292006000.1,65752308061
12/10/2017,292693023.3,65744165162
12/11/2017,291633029.6,65742342110
12/12/2017,340389123,65750265212
12/13/2017,500606737.4,65748192461
12/14/2017,1081229025,65748192460
12/15/2017,1145308660,65746765786
12/16/2017,1210082137,65747467373
12/17/2017,2476748098,65748555827
12/18/2017,2391377167,65747750110
12/19/2017,2921968695,65747911773
12/20/2017,3080434314,65748192478
12/21/2017,3285181332,65748335508
12/22/2017,3002193965,65748192480
12/23/2017,2649657273,65748319429
12/24/2017,3384219325,65747466147
12/25/2017,2413380595,65748940092
12/26/2017,2350335322,65747323543
12/27/2017,2487254121,65748192466
12/28/2017,2414376363,65747409264
12/29/2017,2761914715,65748916014
12/30/2017,2390380775,65747470226
12/31/2017,2375395214,65747604805
1/1/2018,2937738005,65747683743
