date,txvolume_usd,adjustedtxvolume_usd,txcount,marketcap_usd,price_usd,exchangevolume_usd,realizedcap_usd,generatedcoins,fees,activeaddresses,averagedifficulty,paymentcount,mediantxvalue_usd,medianfee,blocksize,blockcount
1/3/09,,,,,,,0,,,,,,,,,
1/4/09,,,,,,,0,,,,,,,,,
1/5/09,,,,,,,0,,,,,,,,,
1/6/09,,,,,,,0,,,,,,,,,
1/7/09,,,,,,,0,,,,,,,,,
1/8/09,,,,,,,0,,,,,,,,,
1/9/09,,,0,,,,0,700,0,14,1,0,,,3010,14
1/10/09,,,0,,,,0,3050,0,61,1,0,,,13129,61
1/11/09,,,0,,,,0,4650,0,93,1,0,,,20033,93
1/12/09,,,7,,,,0,4700,0,102,1,5,,0,22031,94
1/13/09,,,0,,,,0,6150,0,123,1,0,,,26527,123
1/14/09,,,1,,,,0,6450,0,133,1,0,,0,28276,129
1/15/09,,,8,,,,0,6300,0,140,1,6,,0,30061,126
1/16/09,,,2,,,,0,5400,0,114,1,0,,0,23854,108
1/17/09,,,0,,,,0,5450,0,109,1,0,,,23528,109
1/18/09,,,1,,,,0,5350,0,111,1,0,,0,23534,107
1/19/09,,,2,,,,0,5750,0,133,1,0,,0,26783,115
1/20/09,,,1,,,,0,5700,0,123,1,0,,0,25619,114
1/21/09,,,1,,,,0,5100,0,105,1,0,,0,22337,102
1/22/09,,,1,,,,0,4550,0,102,1,0,,0,20816,91
1/23/09,,,2,,,,0,4200,0,95,1,0,,0,19256,84
1/24/09,,,1,,,,0,10050,0,212,1,0,,0,44634,201
1/25/09,,,1,,,,0,9550,0,193,1,0,,0,41447,191
1/26/09,,,1,,,,0,4800,0,117,1,0,,0,23035,96
1/27/09,,,1,,,,0,4850,0,101,1,0,,0,21370,97
1/28/09,,,0,,,,0,5600,0,112,1,0,,,24153,112
1/29/09,,,1,,,,0,6050,0,134,1,0,,0,27498,121
1/30/09,,,0,,,,0,5850,0,117,1,0,,,25257,117
1/31/09,,,1,,,,0,6900,0,159,1,0,,0,32080,138
2/1/09,,,1,,,,0,5650,0,116,1,0,,0,24657,113
2/2/09,,,1,,,,0,6400,0,130,1,0,,0,27788,128
2/3/09,,,16,,,,0,6950,2.01,154,1,14,,0,34541,139
2/4/09,,,0,,,,0,5950,0,119,1,0,,,25673,119
2/5/09,,,0,,,,0,6300,0,126,1,0,,,27181,126
2/6/09,,,0,,,,0,6100,0,122,1,0,,,26332,122
2/7/09,,,4,,,,0,6450,0,156,1,1,,0,31000,129
2/8/09,,,1,,,,0,6600,0,134,1,0,,0,28720,132
2/9/09,,,1,,,,0,6700,0,179,1,0,,0,33983,134
2/10/09,,,0,,,,0,6000,0,120,1,0,,,25880,120
2/11/09,,,2,,,,0,6650,0,147,1,0,,0,30474,133
2/12/09,,,0,,,,0,5950,0,119,1,0,,,25689,119
2/13/09,,,0,,,,0,6200,0,124,1,0,,,26772,124
2/14/09,,,0,,,,0,6800,0,136,1,0,,,29347,136
2/15/09,,,3,,,,0,6400,0,142,1,0,,0,29361,128
2/16/09,,,1,,,,0,6100,0,153,1,0,,0,29789,122
2/17/09,,,0,,,,0,5850,0,117,1,0,,,25260,117
2/18/09,,,0,,,,0,5900,0,118,1,0,,,25481,118
2/19/09,,,1,,,,0,6200,0,141,1,0,,0,28650,124
2/20/09,,,0,,,,0,6100,0,122,1,0,,,26334,122
2/21/09,,,0,,,,0,5700,0,114,1,0,,,24620,114
