date,txvolume_usd,adjustedtxvolume_usd,txcount,marketcap_usd,price_usd,exchangevolume_usd,generatedcoins,fees,activeaddresses,mediantxvalue_usd,medianfee,averagedifficulty,paymentcount,blocksize,blockcount
7/30/15,,,,,,,39311.09375,,,,,1.21335E+11,,4449897,6911
7/31/15,,,,,,,36191.71875,,,,,6.02942E+11,,3994458,6863
8/1/15,,,,,,,27702.1875,,,,,8.87254E+11,,3044344,5293
8/2/15,,,,,,,28227.1875,,,,,1.02025E+12,,3112348,5358
8/3/15,,,,,,,27976.71875,,,,,1.12584E+12,,3099953,5280
8/4/15,,,,,,,28478.4375,,,,,1.21659E+12,,3150854,5368
8/5/15,,,,,,,27528.59375,,,,,1.32784E+12,,3030780,5235
8/6/15,,,,,,,27075.46875,,,,,1.38085E+12,,2986060,5116
8/7/15,5684487.227,5684487.227,2050,170219447.9,2.83,164329,27437.65625,37.31841351,1086,41.61171287,0.001320779,1.47084E+12,1977,3282693,5189
8/8/15,37899681.79,37899681.79,2881,168464386.9,2.79,674188,27943.4375,68.09997007,826,0.279,0.001243194,1.58612E+12,1973,3508878,5256
8/9/15,823605.5177,823605.5177,1329,42655638.76,0.706136,532170,27178.28125,14.0989497,732,7.06136,0.001223011,1.70948E+12,1213,3167541,5123
8/10/15,1194050.488,1194050.488,2037,43153260.22,0.713989,405283,27817.34375,31.16514444,1001,0.359784483,0.001228262,1.8377E+12,1451,3316883,5255
8/11/15,1053129.873,1053129.873,4963,42729601.34,0.708087,1463100,28027.8125,11.31144859,2342,0.034006303,0.001217965,2.03639E+12,3029,3653834,5280
8/12/15,797474.1891,797474.1891,2036,63986648.9,1.06,2150620,27370.9375,32.5869924,906,7.634961965,0.00124407,2.20708E+12,1479,3348157,5124
8/13/15,2182919.675,2182919.675,2842,73738128,1.22,4068680,28268.125,24.92916911,1274,9.94756377,0.001210096,2.33698E+12,2486,3519008,5286
8/14/15,4162001.561,4162001.561,3174,109462788.4,1.81,4637030,31106.71875,14.35483411,1594,18.75014337,0.001210111,2.67125E+12,3014,3832496,5809
8/15/15,13902410.53,13902410.53,2284,108962422.7,1.8,2554360,28512.65625,8.836593028,1313,18,0.001209761,3.37803E+12,2170,3435520,5382
8/16/15,2898479.711,2898479.711,2440,101550120,1.68,3550790,27094.53125,6.677237925,1202,12.00702942,0.001207801,3.63163E+12,2340,3287835,5132
8/17/15,5383055.468,5383055.468,2512,114938899.9,1.58,1942830,28118.90625,7.64281184,1249,11.69836028,0.001210228,3.90802E+12,2410,3393782,5347
8/18/15,2409105.869,2409105.869,2494,88274737.49,1.22,1485680,26162.8125,11.90607134,1294,7.82349247,0.001205693,4.37769E+12,2324,3208720,4948
8/19/15,1691424.304,1691424.304,3246,84840220.21,1.17,1486240,27282.03125,15.43095067,1350,6.212439645,0.001214039,4.41957E+12,3147,3392043,5192
