date,txvolume_usd,adjustedtxvolume_usd,txcount,marketcap_usd,price_usd,exchangevolume_usd,realizedcap_usd,generatedcoins,fees,activeaddresses,averagedifficulty,paymentcount,mediantxvalue_usd,medianfee,blocksize,blockcount
10/7/11,,,,,,,0,,,,,,,,,
10/8/11,,,0,,,,0,50,0,1,0.000244141,0,,,215,1
10/9/11,,,0,,,,0,,0,0,,0,,,0,0
10/10/11,,,0,,,,0,,0,0,,0,,,0,0
10/11/11,,,0,,,,0,,0,0,,0,,,0,0
10/12/11,,,0,,,,0,50,0,1,0.000244141,0,,,215,1
10/13/11,,,92,,,,0,484100,0.001,9775,0.0037343,52,,0,2188856,9682
10/14/11,,,62,,,,0,56100,0.002,1530,0.04599766,24,,0,295953,1122
10/15/11,,,438,,,,0,38100,0.075,1503,0.0625,412,,0,310517,762
10/16/11,,,1415,,,,0,45750,0.90707077,4844,0.07430734,1348,,0,924909,915
10/17/11,,,1578,,,,0,38650,0.35624793,3140,0.090344629,1503,,0,764402,773
10/18/11,,,1651,,,,0,41300,0.37451134,3739,0.090344629,1619,,0,832340,826
10/19/11,,,1388,,,,0,32150,0.31676977,2624,0.124429864,1357,,0,702517,643
10/20/11,,,1851,,,,0,37950,0.31730384,3739,0.126039753,1813,,0,854828,759
10/21/11,,,1681,,,,0,41550,0.30810998,3175,0.135533567,1651,,0,790725,831
10/22/11,,,1505,,,,0,36400,0.48386862,2892,0.16800443,1474,,0,742599,728
10/23/11,,,1562,,,,0,41400,0.434,3120,0.16800443,1538,,0,755129,828
10/24/11,,,1443,,,,0,29800,0.3396925,2685,0.196395617,1415,,0,633027,596
10/25/11,,,1260,,,,0,26150,0.233,2409,0.220230194,1242,,0,571751,523
10/26/11,,,1310,,,,0,28850,0.32674311,4213,0.220230194,1283,,0,866683,577
10/27/11,,,933,,,,0,21350,0.14011365,1873,0.220230194,911,,0,424367,427
10/28/11,,,1388,,,,0,22550,0.27703041,2616,0.199730151,1355,,0,724373,451
10/29/11,,,1522,,,,0,29000,0.69447838,2930,0.187903203,1484,,0,784147,580
10/30/11,,,1749,,,,0,36800,1.74799645,3196,0.187903203,1706,,0,772624,736
10/31/11,,,1779,,,,0,33000,0.88913483,3724,0.193456087,1743,,0,857657,660
11/1/11,,,1980,,,,0,43800,2.51915163,3927,0.202801185,1922,,0,999232,876
11/2/11,,,2348,,,,0,61950,1.56227332,4539,0.252385487,2289,,0,1218456,1239
11/3/11,,,2029,,,,0,45200,0.30882658,3605,0.380873507,1985,,0,924031,904
11/4/11,,,2112,,,,0,46550,0.31720688,3926,0.42278804,2075,,0,986921,931
11/5/11,,,1592,,,,0,29650,0.23354635,2842,0.618815153,1555,,0,691053,593
11/6/11,,,1716,,,,0,31350,0.35811991,3003,0.618815153,1686,,0,749117,627
11/7/11,,,1608,,,,0,29200,1.34509582,2792,0.618815153,1578,,0,707160,584
11/8/11,,,1734,,,,0,26700,0.29268562,2996,0.64005589,1702,,0,729085,534
11/9/11,,,1505,,,,0,27150,0.85764076,2641,0.642153741,1477,,0,721765,543
11/10/11,,,1487,,,,0,26300,0.21606553,2635,0.642153741,1454,,0,663385,526
11/11/11,,,2003,,,,0,28850,1.23968895,3314,0.634049147,17803,,0,1335345,577
11/12/11,,,1295,,,,0,29050,0.18343287,2413,0.601840372,1275,,0,582362,581
11/13/11,,,1572,,,,0,27950,0.32351137,2861,0.601840372,11188,,0,1058427,559
11/14/11,,,1460,,,,0,29300,0.19445751,2834,0.601840372,5401,,0,812564,586
11/15/11,,,4823,,,,0,29600,13.35352327,7095,0.605080559,278773,,0.0015,17280936,592
11/16/11,,,21994,,,,0,28450,43.39404254,40944,0.606429345,1859479,,0.002,69917261,569
11/17/11,,,15859,,,,0,31150,45.73661564,25412,0.606429345,1760800,,0.0025,64481878,623
11/18/11,,,11761,,,,0,31050,34.26796281,11483,0.617250925,495265,,0,20137098,621
11/19/11,,,2499,,,,0,29950,81.5822683,3379,0.637686095,214458,,0,8174476,599
11/20/11,,,4203,,,,0,32350,40.1854988,2830,0.637686095,240062,,0,10129839,647
11/21/11,,,2616,,,,0,29350,827.2449273,3406,0.639387067,1191025,,0,41787377,587
11/22/11,,,1735,,,,0,27650,670.3204055,2999,0.668888299,930922,,0.1,32396914,553
11/23/11,,,1596,,,,0,29350,410.9106206,2902,0.668888299,575995,,0,20536887,587
11/24/11,,,1222,,,,0,25550,216.8515728,2451,0.668888299,312401,,0,11912416,511
11/25/11,,,1317,,,,0,29050,123.8830022,2795,0.656785446,153725,,0,6709904,581
11/26/11,,,1508,,,,0,28950,269.3885052,2798,0.640534438,535214,,0,19166281,579
11/27/11,,,1409,,,,0,30300,85.78950653,2841,0.640534438,312347,,0,11236408,606
11/28/11,,,1300,,,,0,29650,369.5290919,2655,0.640965461,130931,,0,5036333,593
11/29/11,,,883,,,,0,28450,30.3786042,2052,0.666094098,60829,,0,2539153,569
11/30/11,,,1170,,,,0,36000,24.52914749,2300,0.666094098,1347,,0,677904,720
12/1/11,,,1186,,,,0,35550,33.41452892,2326,0.666094098,1396,,0,721527,711
12/2/11,,,1157,,,,0,37150,36.96045986,2354,0.765982946,1301,,0,788321,743
12/3/11,,,1314,,,,0,38450,20.56967198,2606,0.766796153,9034,,0,947983,769
12/4/11,,,964,,,,0,31800,26.11976075,2080,0.810368968,1051,,0,637342,636
12/5/11,,,839,,,,0,26350,13.78164793,1810,0.986735124,855,,0,514139,527
12/6/11,,,947,,,,0,29400,32.68467346,3224,0.986735124,1181,,0,717563,588
12/7/11,,,928,,,,0,28950,12.03405502,2011,0.986735124,1135,,0,594428,579
12/8/11,,,990,,,,0,26800,17.10151498,1979,0.968375661,1215,,0,590618,536
12/9/11,,,740,,,,0,25450,17.37761537,1650,0.957791971,879,,0,734845,509
12/10/11,,,821,,,,0,28550,9.05848349,1729,0.957791971,1009,,0,460528,571
12/11/11,,,846,,,,0,30000,18.856275,1720,0.957509839,1192,,0,554246,600
12/12/11,,,778,,,,0,29800,12.51501287,1757,0.915472299,1028,,0,501657,596
12/13/11,,,594,,,,0,17800,9.65095198,1458,0.915472299,591,,0,429632,356
12/14/11,,,602,,,,0,18900,11.34962731,1401,0.915472299,574,,0,394877,378
12/15/11,,,715,,,,0,24200,11.7299233,1593,0.915472299,665,,0,359197,484
12/16/11,,,773,,,,0,30050,12.808,1866,0.78544484,755,,0,439870,601
12/17/11,,,689,,,,0,29500,11.50172154,1770,0.721560381,671,,0,450239,590
12/18/11,,,774,,,,0,31750,23.72517357,1933,0.721560381,751,,0,630004,635
12/19/11,,,746,,,,0,26950,20.43399021,1786,0.736470547,725,,0,516031,539
12/20/11,,,768,,,,0,27750,15.94788426,1871,0.774782763,741,,0,475535,555
12/21/11,,,768,,,,0,32050,13.91753582,1914,0.774782763,753,,0,459620,641
12/22/11,,,798,,,,0,37600,11.12067367,2082,0.784972688,773,,0,520436,752
12/23/11,,,801,,,,0,19950,12.15596144,1729,0.867105942,767,,0,402479,399
12/24/11,,,626,,,,0,14150,17.15120587,1391,0.867105942,612,,0,313324,283
12/25/11,,,594,,,,0,13750,14.52821766,1299,0.867105942,545,,0,261023,275
12/26/11,,,616,,,,0,16450,15.02909149,1390,0.867105942,612,,0,289800,329
12/27/11,,,719,,,,0,17200,21.43478061,1758,0.867105942,692,,0,360437,344
12/28/11,,,711,,,,0,21700,20.32103011,1638,0.756800019,695,,0,389886,434
12/29/11,,,1028,,,,0,60000,22.12293936,2829,0.501664944,1005,,0,791387,1200
12/30/11,,,940,,,,0,49500,16.55715331,2610,0.675453568,920,,0,710037,990
12/31/11,,,686,,,,0,28500,7.7239616,1752,1.065765722,662,,0,435156,570
1/1/12,,,649,,,,0,28200,22.66679206,1690,1.065765722,634,,0,575259,564
1/2/12,,,718,,,,0,31600,11.52765121,1998,1.068927322,694,,0,470587,632
