date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
8/1/2017,308149,89,68606659,770861.3371,25.85146816,5411499997,209330470.6,8.60222E+11,0.000675809,0.221886864,0.00030561,0.10034029,52.0440309,17087.50741,1112.5,2.463672701,365264.7895,1112.5,365264.7895,21.16922533,,0.120381757,328.3279007,,,16481998.59,77010,207932,778582.9824,255630516.1,7.186771345,2359.617548,0.01359,4.46197617,1494359.739,490639996,,,
8/2/2017,16751,7,4320573,617224.7143,24.74393817,5653824429,228493313.8,7.31436E+11,0.001151899,0.395134254,0.00037976,0.130268484,5.61781323,1927.069759,87.5,0.193770982,30014.98929,87.5,30014.98929,171.0785298,,0.127512964,343.028449,,,16482086.09,4877,6428,96342.22429,33048123.77,23.39937989,8026.65299,0.9852775,337.9782126,150411.2139,51595325.42,,,
8/3/2017,80506,35,17829726,509420.7429,16.21579497,4994964258,308030797.7,2.30741E+11,0.000893997,0.27092244,0.0002951,0.0894289,20.57356421,6234.738103,437.5,0.968829191,132582.6625,437.5,132582.6625,31.52500113,,0.108628546,303.0460857,,,16482523.59,23013,37546,522839.7463,158444538.6,27.96809936,8475.623036,0.97483386,295.4195855,1050090.259,318225742.5,,,
8/4/2017,88105,19,21606631,1137191.105,8.80246211,3230499418,366999525.5,2.25506E+11,0.000806855,0.158137685,0.00025842,0.050648411,21.52932081,4219.587844,237.5,0.525928268,46548.24561,237.5,46548.24561,18.4460163,,0.068522349,195.9926131,,,16482761.09,26683,41505,893567.523,175132633.8,32.14217408,6299.628688,0.9573775,187.6389179,1334060.935,261466088.7,,,
8/5/2017,44381,13,9964347,766488.2308,8.20840019,3188357892,388426224.3,2.25506E+11,0.000762005,0.147397675,0.0002497,0.048300471,9.20121024,1779.826929,162.5,0.35984211,31433.02549,162.5,31433.02549,27.15877018,,0.059749369,193.434003,,,16482923.59,12075,19606,606909.7931,117396990.8,45.57809515,8816.353395,0.99984032,193.4031155,893604.1335,172853424.7,,,
8/6/2017,33613,65,7030341,108159.0923,8.46552775,3469877361,409883171.2,1.44879E+11,0.000687715,0.144766108,0.000226,0.047573698,6.98099381,1469.520759,812.5,1.799121864,171033.7596,812.5,171033.7596,42.49645677,,0.06516888,210.5030887,,,16483736.09,10151,16487,387884.952,81650980.45,44.480709,9363.326632,0.79554634,167.4649618,733353.4493,154373166.2,,,
8/7/2017,58611,78,11597154,148681.4615,10.8082265,5295001376,489904738.1,1.44324E+11,0.000537118,0.172525937,0.00019493,0.062612842,9.10629753,2925.004732,975,2.158818544,313176.6345,975,313176.6345,34.7171531,,0.094679704,321.2068046,,,16484711.09,16954,29195,474829.0001,152518305.9,47.64999993,15305.50422,0.9999775,321.1995775,1391141.748,446844195.6,,,
8/8/2017,34565,23,10299439,447801.6957,10.42465498,5636590757,540698063,1.26754E+11,0.00069528,0.237731838,0.00021662,0.074067237,8.06455312,2757.451589,287.5,0.636563597,98302.69826,287.5,98302.69826,52.03414045,,0.099811648,341.9224287,,,16484998.59,11599,19661,316811.2022,108324855.7,41.76469428,14280.2857,0.81086557,277.2531251,821135.6543,280764697.2,,,
8/9/2017,30593,95,6680110,70316.94737,8.85466014,4987840125,563301136.8,1.15459E+11,0.000495932,0.150042516,0.00019493,0.058975416,5.2390242,1585.049142,1187.5,2.629095035,359274.1289,1187.5,359274.1289,70.86618269,,0.09038756,302.5466349,,,16486186.09,10564,17400,232638.2693,70383925.53,30.72544458,9295.879862,0.999467125,302.3854154,534622.7356,161748309.6,,,
8/10/2017,31527,100,7069172,70691.72,7.92474306,4600009226,580461624.3,1.15459E+11,0.000543075,0.15151831,0.0002158,0.060208391,5.42151434,1512.607287,1250,2.767258641,348751.1035,1250,348751.1035,71.90830028,,0.081174941,279.0008828,,,16487436.09,9983,17292,229284.186,63970490.3,25.70887291,7172.798238,0.59899035,167.1188365,444557.8303,124032027.1,,,
8/11/2017,31381,67,6248090,93255.07463,8.83715926,5419999941,613319255.7,1.15459E+11,0.00044766,0.147154254,0.000187,0.061470352,4.85890651,1597.212276,837.5,1.853969115,275301.7122,837.5,275301.7122,61.70730837,,0.089801016,328.7184623,,,16488273.59,10854,19077,267201.3094,87834003.54,44.9777867,14785.02888,0.822288,270.3012469,858041.2369,282053996,,,
8/12/2017,23548,72,8479899,117776.375,8.30615729,5219424667,628380186.5,1.15459E+11,0.000648084,0.205142173,0.00021728,0.068777042,4.67592508,1480.10078,900,1.992216275,284882.8156,900,284882.8156,92.66552165,,0.081769497,316.5364618,,,16489173.59,7215,11532,177942.9209,56325422.6,50.30761397,15924.19413,0.7003587,221.6890649,580147.4043,183637806.7,,,
8/13/2017,23046,78,8639918,110768.1795,7.66276663,4905121731,640124117.7,1.15459E+11,0.000592543,0.176256522,0.00021674,0.064470983,4.6176887,1373.567076,975,2.15810669,290021.2609,975,290021.2609,120.3984582,,0.073196916,297.4577035,,,16490148.59,7793,12653,136963.1209,40740735.41,22.35106738,6648.497173,0.629966265,187.3883185,282808.0555,84123434.73,,,
8/14/2017,32262,91,12225862,134350.1319,7.49582909,4983556780,664843970.9,1.15459E+11,0.000585894,0.177053149,0.000187,0.056510154,5.7792547,1746.452265,1137.5,2.517617472,343744.9211,1137.5,343744.9211,59.53117166,,0.070202356,302.1933373,,,16491286.09,9864,18223,277019.3435,83713399.91,26.67315013,8060.448253,0.44980456,135.9279411,486064.8148,146885548.5,,,
8/15/2017,25233,112,8068445,72039.6875,7.10583138,4920005076,692389787.5,1.15459E+11,0.000638842,0.190575722,0.000187,0.055784785,4.75426168,1418.264525,1400,3.09834309,417640.1023,1400,417640.1023,70.73023203,,0.071709656,298.3143588,,,16492686.09,7442,12822,233177.3221,69560143.31,37.09989498,11067.43138,0.50039841,149.2760308,475694.8535,141906605.2,,,
