date,txvolume_usd,txcount,paymentcount,activeaddresses,mediantxvalue_usd,marketcap_usd,price_usd,exchangevolume_usd
8/28/17,,1,1,2,,,,
8/29/17,,2,2,3,,,,
8/30/17,,2,2,3,,,,
8/31/17,,3,3,4,,,,
9/1/17,,26,26,17,,,,
9/2/17,,15,15,15,,,,
9/3/17,,423,423,316,,,,
9/4/17,,1360,1360,1011,,,,
9/5/17,,1397,1397,1043,,,,
9/6/17,,1540,1540,1336,,,,
9/7/17,,686,686,603,,,,
9/8/17,,526,526,462,,,,
9/9/17,,468,468,441,,,,
9/10/17,,531,531,550,,,,
9/11/17,,642,642,803,,,,
9/12/17,,329,329,365,,,,
9/13/17,1904725.615,384,384,391,259.9859147,0,0.002051,48512
9/14/17,2678158.659,334,334,283,216.149509,0,0.002006,58770
9/15/17,337296.8817,169,169,176,290.604105,0,0.001419,26475
9/16/17,249739.7947,204,204,151,180.7739999,0,0.001815,54535
9/17/17,269382.0738,258,258,187,305.370864,0,0.001836,124998
9/18/17,1968324.241,463,463,383,339.879,0,0.003324,159158
9/19/17,1784011.484,377,377,303,327.3,0,0.003273,158416
9/20/17,472702.2416,310,310,264,255.8505916,0,0.002306,83399
9/21/17,667529.3821,363,363,252,251.7224103,0,0.002638,99853
9/22/17,212418.4159,1801,1801,1776,0.00027342,0,0.002079,38829
9/23/17,19588517.82,5616,5616,4172,0.00078933,0,0.001934,42314
9/24/17,35434124.43,4857,4857,4846,0.00017603,0,0.002346,50023
9/25/17,574814.587,7873,7873,7860,0.000160145,0,0.002251,106284
9/26/17,527724.3769,8941,8941,8948,0.000131137,0,0.001777,61508
9/27/17,31686727.89,9973,9973,9973,0.00013036,0,0.001736,35671
9/28/17,3108313.204,8415,8415,8419,0.000184295,25802729.09,0.002563,69532
9/29/17,581696.7343,8322,8322,8326,0.000196142,29202481.28,0.002901,58162
9/30/17,144505.4035,3185,3185,3209,0.000167722,19959147.59,0.001983,53734
10/1/17,249180286.4,6692,6692,6684,0.000181269,22757585.31,0.002261,72807
10/2/17,1824251.679,7092,7092,6955,0.000182394,73920263.72,0.001848,887622
10/3/17,21386637.47,7973,7973,7935,0.000265501,109897989,0.002748,822107
10/4/17,1771031.598,5840,5840,5742,0.000235519,98767293.05,0.002469,1072200
10/5/17,2420506.345,5926,5926,5786,0.000298286,130768664.8,0.003269,704167
10/6/17,2142753.71,3777,3777,3723,0.000316999,132819604,0.003321,478330
10/7/17,425213.8887,5353,5353,5316,0.000259643,195036872.5,0.002995,352974
10/8/17,368298.7564,6946,6946,6904,0.000202294,167018655,0.002565,239490
10/9/17,1261028.891,7631,7631,7605,0.000193,167156335.9,0.002567,350960
10/10/17,387565.9208,7637,7637,7658,0.000151378,142983667.3,0.002186,215705
10/11/17,277834.3272,8473,8473,8473,0.000167152,149684912.5,0.002289,289055
10/12/17,218459.6139,7662,7662,7664,0.000180409,161573128.4,0.002471,136756
10/13/17,336959.9829,7579,7579,7604,0.00017606,153333130.9,0.002345,184709
10/14/17,237202.4933,5022,5022,5036,0.00016238,138231748.2,0.002114,121404
10/15/17,133419.6044,9283,9283,9310,0.000149921,155482779.6,0.002378,116033
10/16/17,229547.7586,31481,31481,31487,0.000143713,149588193.6,0.002287,152645
10/17/17,271679.3008,39390,39390,39398,0.000140237,140969861.5,0.002156,116008
10/18/17,239166.5817,28689,28689,28705,0.000127723,127051568,0.001943,189768
10/19/17,418084.4778,18233,18233,18245,0.000140279,136989613.4,0.002094,325575
10/20/17,403740.571,20495,20495,20468,0.000124425,125367084.5,0.001916,211546
10/21/17,236501.7689,9113,9113,9094,0.000140993,127798908,0.001953,243113
10/22/17,347468.3179,299,299,252,206.4836948,150871259.7,0.002306,244796
10/23/17,459595.8569,252,252,226,510.4433513,168461747.6,0.002575,221618
10/24/17,341743.8749,318,318,223,242.5,158686273.8,0.002425,297411
10/25/17,539296.4099,507,507,370,272.8972407,173752068.9,0.002656,715742
10/26/17,824045.8557,385,385,295,406.9980359,198164555.8,0.003029,794428
10/27/17,922979.7973,386,386,277,460.6033429,185826420.2,0.00284,1589480
10/28/17,536421.6254,475,475,371,310.7630537,200159522.5,0.003059,1031720
10/29/17,3542119.288,666,666,470,593.930052,195523248.1,0.002988,1605430
10/30/17,3619221.609,4830,4830,4466,70.2338,193077208.6,0.002951,1347640
10/31/17,3196786.944,755,755,783,552,180826318.8,0.00276,1805800
11/1/17,519557.0761,4252,4252,4264,0.000289502,182332840.8,0.002782,1398750
11/2/17,497358.6682,8710,8710,8697,0.000260734,165377419.9,0.002524,1429590
11/3/17,2353654.27,27600,27600,27591,0.000231683,151000005.1,0.002304,1588360
11/4/17,236375.2746,54906,54906,54933,0.000224131,145993382.3,0.002228,1696040
11/5/17,387475.4114,68169,68169,68167,0.000214705,139288452.2,0.002126,1762660
11/6/17,1515750.446,52329,52329,52316,0.000222723,145039139,0.002213,1719120
11/7/17,218339.0442,50551,50551,50509,0.000215637,140527081.2,0.002145,1497470
11/8/17,974027.1302,35564,35564,35532,0.00021933,142395198.3,0.002173,2839470
11/9/17,256264.3646,272,272,225,460.8,150976955.3,0.002304,2924350
11/10/17,350619.0513,282,282,185,467,152977925.2,0.002335,2193620
11/11/17,376579.3596,207,207,172,388.474169,132776688.5,0.002026,1748460
11/12/17,273775.5331,205,205,192,359.074,131421538.5,0.002006,2174370
11/13/17,497715.8252,230,230,168,359,117765085.1,0.001795,2889150
11/14/17,1053849.829,392,392,314,487.2318819,138514465.3,0.002111,4040400
11/15/17,883421.3949,333,333,273,488.8,160380741.6,0.002444,5008060
11/16/17,1165324.997,392,392,237,882.9656214,152431866.5,0.002323,5082450
11/17/17,677109.8255,260,260,211,591.5256789,143498944.6,0.002187,5720510
11/18/17,203538.6614,205,205,173,395.30898,129914120.8,0.00198,5709820
11/19/17,391118.4722,202,202,175,200.99,132512167.5,0.00202,4289470
